trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint
1,17:40:00,17:40:00,stamsuhh_d,1,75.44,1
1,,,hoff,2,263.84,0
1,,,uniofiel,3,333.76,0
1,,,biofield,4,663.67,0
1,,,mitc_out,5,1069.95,0
1,,,memo_out,6,1273.25,0
1,,,mont_out,7,1570.41,0
1,,,baltritc,8,2035.55,0
1,17:55:00,17:55:00,univclub,9,3323.97,1
1,,,univview,10,3814.46,0
1,,,varsity,11,4018.51,0
1,,,mcirc,12,4666.05,0
1,18:10:00,18:10:00,stamsuhh_a,13,4993.67,1
2,18:10:00,18:10:00,stamsuhh_d,1,75.44,1
2,,,hoff,2,263.84,0
2,,,uniofiel,3,333.76,0
2,,,biofield,4,663.67,0
2,,,mitc_out,5,1069.95,0
2,,,memo_out,6,1273.25,0
2,,,mont_out,7,1570.41,0
2,,,baltritc,8,2035.55,0
2,18:25:00,18:25:00,univclub,9,3323.97,1
2,,,univview,10,3814.46,0
2,,,varsity,11,4018.51,0
2,,,mcirc,12,4666.05,0
2,18:40:00,18:40:00,stamsuhh_a,13,4993.67,1
3,18:40:00,18:40:00,stamsuhh_d,1,75.44,1
3,,,hoff,2,263.84,0
3,,,uniofiel,3,333.76,0
3,,,biofield,4,663.67,0
3,,,mitc_out,5,1069.95,0
3,,,memo_out,6,1273.25,0
3,,,mont_out,7,1570.41,0
3,,,baltritc,8,2035.55,0
3,18:55:00,18:55:00,univclub,9,3323.97,1
3,,,univview,10,3814.46,0
3,,,varsity,11,4018.51,0
3,,,mcirc,12,4666.05,0
3,19:10:00,19:10:00,stamsuhh_a,13,4993.67,1
4,19:10:00,19:10:00,stamsuhh_d,1,75.44,1
4,,,hoff,2,263.84,0
4,,,uniofiel,3,333.76,0
4,,,biofield,4,663.67,0
4,,,mitc_out,5,1069.95,0
4,,,memo_out,6,1273.25,0
4,,,mont_out,7,1570.41,0
4,,,baltritc,8,2035.55,0
4,19:25:00,19:25:00,univclub,9,3323.97,1
4,,,univview,10,3814.46,0
4,,,varsity,11,4018.51,0
4,,,mcirc,12,4666.05,0
4,19:40:00,19:40:00,stamsuhh_a,13,4993.67,1
5,19:40:00,19:40:00,stamsuhh_d,1,75.44,1
5,,,hoff,2,263.84,0
5,,,uniofiel,3,333.76,0
5,,,biofield,4,663.67,0
5,,,mitc_out,5,1069.95,0
5,,,memo_out,6,1273.25,0
5,,,mont_out,7,1570.41,0
5,,,baltritc,8,2035.55,0
5,19:55:00,19:55:00,univclub,9,3323.97,1
5,,,univview,10,3814.46,0
5,,,varsity,11,4018.51,0
5,,,mcirc,12,4666.05,0
5,20:10:00,20:10:00,stamsuhh_a,13,4993.67,1
6,20:10:00,20:10:00,stamsuhh_d,1,75.44,1
6,,,hoff,2,263.84,0
6,,,uniofiel,3,333.76,0
6,,,biofield,4,663.67,0
6,,,mitc_out,5,1069.95,0
6,,,memo_out,6,1273.25,0
6,,,mont_out,7,1570.41,0
