stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,stop_timezone,wheelchair_boarding,platform_code
142078,142078,22nd St. (NB),,39.313951,-76.616648,,0,,0,
142085,142085,22nd St. (SB),,39.314451376,-76.615254682,,0,,0,
142079,142079,25th St. (NB),,39.317515348,-76.616873953,,0,,0,
142084,142084,25th St. (SB),,39.318038263,-76.61547186,,0,,0,
142080,142080,27th St. (NB),,39.320466,-76.617038,,0,,0,
172704,172704,29th and Guilford,,39.323644949,-76.611911939,,0,,0,
142083,142083,29th St. (SB),,39.323556838,-76.615847717,,0,,0,
142081,142081,31st St. - Baltimore Museum of Art (NB),,39.325995453,-76.61744921,,0,,0,
142103,142103,32nd St - MedStar Union Memorial Hospital,,39.327142078,-76.616083433,,0,,0,
162747,162747,33rd & Abell,,39.32815111,-76.61229681,,0,,0,
162750,162750,33rd & Calvert,,39.328075303,-76.615003791,,0,,0,
142082,142082,33rd St. - MedStar Union Memorial Hospital (SB),,39.328043505,-76.616359985,,0,,0,
142055,142055,Albemarle Square (WB),,39.288857089,-76.603599318,,0,,0,
141999,141999,American Visionary Art Museum (SB),,39.280684,-76.607251,,0,,0,
142005,142005,Andre St. (SB),,39.268037694,-76.591280869,,0,,0,
142041,142041,B&O Railroad Museum,,39.285676854,-76.634757323,,0,,0,
142010,142010,Baltimore Museum of Industry (NB),,39.273546118,-76.601836207,,0,,0,
161929,161929,Baltimore Peninsula (NB),,39.26481555,-76.60758901,,0,,0,
161920,161920,Baltimore Peninsula (SB),,39.26463709,-76.60797567,,0,,0,
142042,142042,Baltimore St. (EB),,39.288268203,-76.63205014,,0,,0,
142067,142067,Baltimore Visitor Center (NB),,39.283214201,-76.612772053,,0,,0,
142053,142053,Bank St. (WB),,39.286231744,-76.596732971,,0,,0,
142075,142075,Biddle St. (NB),,39.303294,-76.615945,,0,,0,
142001,142001,Boyle St. (SB),,39.273118953,-76.601315858,,0,,0,
142036,142036,Broadway Market (WB),,39.284799992,-76.593616178,,0,,0,
151309,151309,Bus Yard,,39.2557332,-76.633422436,,0,,0,
169535,169535,Camden Street,,39.285771753,-76.614810426,,0,,0,
142025,142025,Caroline St. (EB),,39.284378152,-76.596305458,,0,,0,
142091,142091,Centre St. (SB),,39.296854612,-76.614078624,,0,,0,
142070,142070,Charles St & Fayette St (NB),,39.290266835,-76.615129023,,0,,0,
161897,161897,Cherry Hill Light Rail,,39.25559273,-76.63436881,,0,,0,
161921,161921,Cherry Hill Senior Manor,,39.24998259,-76.62770369,,0,,0,
161928,161928,Cherry Hill Senior Manor (EB),,39.24983817,-76.62769938,,0,,0,
175024,175024,Cherry Hill Town Center,,39.249830073,-76.623574525,,0,,0,
175025,175025,Cherry Hill Town Center,,39.249553013,-76.623798134,,0,,0,
161927,161927,Cherrydale Apartments (EB),,39.25089237,-76.63157109,,0,,0,
161926,161926,Cherrydale Apartments (WB),,39.25115074,-76.63182067,,0,,0,
142057,142057,Commerce St (WB),,39.287880164,-76.609861534,,0,,0,
142049,142049,Convention Center (EB),,39.28633524,-76.617023259,,0,,0,
141996,141996,Conway Street,,39.283788717,-76.613359047,,0,,0,
161896,161896,Cromwell Street (EB),,39.262082633,-76.613258338,,0,,0,
161895,161895,Cromwell Street (WB),,39.26240808,-76.61252354,,0,,0,
142097,142097,Cross Street Market (SB),,39.277158873,-76.612427519,,0,,0,
142004,142004,Decatur St. (SB),,39.269283826,-76.594805501,,0,,0,
142074,142074,Eager St. (NB),,39.300916122,-76.615827939,,0,,0,
142089,142089,Eager St. (SB),,39.301915835,-76.614420717,,0,,0,
142047,142047,Eutaw St. - Camden Yards (EB),,39.28617562,-76.620897907,,0,,0,
142017,142017,Fallsway (EB),,39.294089909,-76.609663309,,0,,0,
142094,142094,Fayette St. (SB),,39.29022758,-76.613970977,,0,,0,
142029,142029,Fayette St. NB (EB),,39.294191,-76.59381,,0,,0,
142034,142034,Fayette St. SB (WB),,39.294267,-76.594189,,0,,0,
141998,141998,Federal Hill Park - Maryland Science Center (SB),,39.280529324,-76.612380119,,0,,0,
142027,142027,Fleet St. (EB),,39.284977281,-76.593248542,,0,,0,
142037,142037,Fleet St. (WB),,39.284276,-76.601229,,0,,0,
142099,142099,Fort Ave. (NB),,39.272713115,-76.613733493,,0,,0,
142002,142002,Fort Avenue (SB),,39.271364388,-76.600746364,,0,,0,
142006,142006,Fort McHenry (SB),,39.265927,-76.584193691,,0,,0,
142064,142064,Fremont Ave. - UMD Biopark (WB),,39.289042469,-76.628789492,,0,,0,
142043,142043,Fremont Avenue-Univ. of MD BioPark (Eastbound),,39.288937544,-76.628405915,,0,,0,
171363,171363,Fuel Site,,39.237181426,-76.589172681,,0,,0,
142019,142019,Gay St. (EB),,39.289757835,-76.608233566,,0,,0,
142038,142038,Gay St. (WB),,39.293203848,-76.608961635,,0,,0,
142035,142035,Gough St. (WB),,39.287682,-76.59378,,0,,0,
162748,162748,Greenmount & 29th Street,,39.323561794,-76.609506281,,0,,0,
162749,162749,Greenmount & 30th Street,,39.3250291,-76.609494233,,0,,0,
162722,162722,Greenmount & 32nd,,39.327411447,-76.609532153,,0,,0,
142072,142072,Hamilton St. (NB),,39.295546613,-76.615466093,,0,,0,
142059,142059,Hanover St. (WB),,39.287768076,-76.615680009,,0,,0,
142023,142023,Harbor East (EB),,39.28418138,-76.600553504,,0,,0,
142011,142011,Harborview (NB),,39.275339458,-76.605188907,,0,,0,
142101,142101,Henrietta St. (NB),,39.278880029,-76.614416128,,0,,0,
142016,142016,High St. (WB),,39.295299675,-76.608787204,,0,,0,
162702,162702,High Street,,39.295647291,-76.609225774,,0,,0,
169534,169534,Hill St.,,39.281150435,-76.614764903,,0,,0,
142066,142066,Hollins Market (WB),,39.28877138,-76.635043466,,0,,0,
142048,142048,Howard St. (EB),,39.286210608,-76.619519085,,0,,0,
142060,142060,Howard St. (WB),,39.287683785,-76.618859983,,0,,0,
142050,142050,Inner Harbor (EB),,39.286488468,-76.612362347,,0,,0,
142068,142068,Inner Harbor (NB),,39.286979328,-76.612027187,,0,,0,
142000,142000,Jackson St. (SB),,39.275271985,-76.605625344,,0,,0,
142054,142054,Jewish Museum of Maryland (WB),,39.289602241,-76.601479598,,0,,0,
142030,142030,Johns Hopkins NB (EB),,39.297112,-76.594016,,0,,0,
142033,142033,Johns Hopkins SB (WB),,39.297087,-76.594379,,0,,0,
142102,142102,Key Highway - Maryland Science Center (NB),,39.280426124,-76.612620248,,0,,0,
142009,142009,Lawrence St. (NB),,39.271665,-76.601123,,0,,0,
141997,141997,Lee St.,,39.28190793,-76.613222047,,0,,0,
162756,162756,Light & Henrietta St. (SB),,39.279280877,-76.612659256,,0,,0,
142058,142058,Light St. (WB),,39.28785924,-76.613342814,,0,,0,
142022,142022,Little Italy (EB),,39.28547317,-76.603314288,,0,,0,
169538,169538,Lombard St. NB,,39.287558841,-76.614879739,,0,,0,
142028,142028,Lombard St. NB (EB),,39.290441,-76.593581,,0,,0,
142021,142021,Lombard St. SB (EB),,39.287904,-76.604869458,,0,,0,
169536,169536,Lombard Street,,39.287562691,-76.61490143,,0,,0,
142031,142031,Madison St. (EB),,39.299384949,-76.589543021,,0,,0,
142090,142090,Madison St. (SB),,39.298809081,-76.614216318,,0,,0,
142026,142026,Maritime Park (EB),,39.280290828,-76.595935242,,0,,0,
142024,142024,Maritime Park (WB),,39.280293129,-76.595909584,,0,,0,
142052,142052,Market Place (WB) and Columbus Center (EB),,39.28669062,-76.606025377,,0,,0,
142039,142039,Market Place NB (WB),,39.289692848,-76.605528542,,0,,0,
142020,142020,Market Place SB (EB),,39.289825304,-76.606442962,,0,,0,
142104,142104,Marketplace (WB),,39.287880736,-76.606667215,,0,,0,
142063,142063,Martin Luther King Jr. Blvd. (WB),,39.287325772,-76.627588665,,0,,0,
161930,161930,McHenry Row (NB),,39.2696043,-76.60041223,,0,,0,
161903,161903,McHenry Row (SB),,39.27025072,-76.59924918,,0,,0,
161899,161899,MedStar Harbor Hospital,,39.25346827,-76.61664406,,0,,0,
161900,161900,Middle Branch Manor,,39.25253623,-76.61761098,,0,,0,
161898,161898,Middle Branch Park,,39.25393329,-76.61798128,,0,,0,
142096,142096,Montgomery St. (SB),,39.280089,-76.612797,,0,,0,
142092,142092,Mulberry St. (SB),,39.294344114,-76.614322659,,0,,0,
142061,142061,Museum of Dentistry (WB),,39.287490613,-76.623261698,,0,,0,
156760,156760,N. Greene St. and Lombard,,39.287801613,-76.623705947,,0,,0,
142051,142051,National Aquarium (EB),,39.286624,-76.608375,,0,,0,
142086,142086,North Ave - Station North Arts District (SB),,39.310968377,-76.615019729,,0,,0,
142077,142077,North Ave. - Station North Arts District (NB),,39.310678151,-76.616432,,0,,0,
162336,162336,Ostend Street (NB),,39.274612653,-76.614125354,,0,,0,
142098,142098,Ostend Street (SB),,39.274597267,-76.612084,,0,,0,
142014,142014,Otterbein (NB),,39.283969631,-76.614574225,,0,,0,
142062,142062,Penn St. (WB),,39.287380822,-76.626187047,,0,,0,
142076,142076,Penn Station (NB),,39.307844038,-76.61626128,,0,,0,
142087,142087,Penn Station (SB),,39.307038583,-76.61479,,0,,0,
142012,142012,Pierside Drive (NB),,39.277499093,-76.606181309,,0,,0,
142044,142044,Pine St. (EB),,39.28902732,-76.62630896,,0,,0,
142071,142071,Pleasant St. (NB),,39.293397592,-76.615329271,,0,,0,
142095,142095,Pratt St. - Inner Harbor (SB),,39.286829736,-76.613681636,,0,,0,
142015,142015,Pratt St. (SB),,39.286455304,-76.613912572,,0,,0,
142040,142040,President St. - Reginald F. Lewis Museum (WB),,39.287613068,-76.604199484,,0,,0,
142056,142056,President St. - Reginald F. Lewis Museum (WB),,39.288142,-76.605427496,,0,,0,
142088,142088,Preston St. (SB),,39.304233708,-76.614574329,,0,,0,
