stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
28068,BT1,CHEVERLY STA,,38.915901,-76.916031,,
28069,BT10,11TH & K NW,,38.902813,-77.027046,,
28070,BT1000,WISCONSIN & CATHEDRAL,,38.929039,-77.073051,,
28071,BT1001,WISCONSIN & ALBEMARLE,,38.947681,-77.079422,,
28072,BT1004,HILLCREST,,38.857262,-76.962524,,
28073,BT1006,BARTON ST & PERSHING DR,,38.881031,-77.087341,,
28074,BT1007,PERSHING & GLEBE-BUCKNGHAM,,38.873585,-77.105629,,
28075,BT1008,PARK DR & 1ST ST,,38.867371,-77.115913,,
28076,BT101,SOUTH CAPITOL & ATLANTIC,,38.831444,-77.007721,,
28077,BT1012,ALABAMA & NAYLOR,,38.858871,-76.968201,,
28078,BT1013,DIVISION & BURROUGHS,,38.89809,-76.925774,,
28079,BT1016,UNIVERSITY BLVD & RIGGS RD,,38.983891,-76.979301,,
28080,BT1017,JEFFERSON & 40TH,,38.954781,-76.949898,,
28081,BT1018,PHILADELPHIA & CHESNUT,,38.982868,-77.014763,,
28082,BT1019,EAST-WEST&N HAMP(TAC PK),,38.975323,-76.993317,,
28083,BT102,LIVNGSTN (SO AV-S CAP),,38.821739,-77.000656,,
28084,BT1022,NAVY YARD STA (NJ & M SE),,38.876484,-77.004181,,
28085,BT1024,14TH & U NW,,38.917381,-77.03196,,
28086,BT1025,14TH & BUCHANAN STS NW,,38.946049,-77.032692,,
28087,BT1026,14TH & ASPEN,,38.971886,-77.033386,,
28088,BT1027,INDEPENDENCE & 12TH,,38.887524,-77.030098,,
28089,BT1028,BRANCH AVE-RANDLE CIR,,38.877312,-76.961403,,
28090,BT1031,GEORGIA & FLORIDA AVES,,38.916069,-77.021851,,
28091,BT1033,GEORGIA & BLAIR RD,,38.982918,-77.026527,,
28092,BT1035,BELLE HAVEN DR @ #1825,,38.915478,-76.884201,,
28093,BT1036,FRANKLIN SQ (I & 13TH NW),,38.901333,-77.030731,,
28094,BT1038,GLEBE RD & JEFFERSON DAVIS HWY,,38.842701,-77.051636,,
28095,BT1039,POINTER RIDGE,,38.902344,-76.733925,,
28096,BT1040,ALLENTOWN WAY@ OLD BRANCH AVE,,38.800816,-76.906006,,
28097,BT1041,FORESTVILLE  RD  @  RENA,,38.828548,-76.878647,,
28099,BT1046,ANNAPOLIS RD @ 65TH AVE,,38.939228,-76.907448,,
28100,BT1047,MLK & Belle Haven / Columbia,,38.916412,-76.882866,,
28101,BT1049,7TH & PENNSYLVANIA NW,,38.893295,-77.021919,,
28102,BT105,7TH & E ST. SW,,38.883621,-77.02182,,
28103,BT1051,CARLING SPRINGS RD&COLUMBIA PK,,38.85323,-77.1222,,
28104,BT1053,ST BARNABAS & VIRGINIA LANE,,38.811096,-76.967766,,
28105,BT1054,FOUR MILE RUN DR & COLUMBIA PK,,38.85664,-77.108749,,
28106,BT1055,HIGH POINT HIGH SCHOOL,,39.043339,-76.943954,,
28107,BT1056,GEORGIA AVE & EUCLID ST NW,,38.924183,-77.022522,,
28108,BT1058,CLARENDON BLVD & UHLE ST,,38.89098,-77.085663,,
28109,BT106,MINNESOTA AVE STA,,38.897972,-76.947266,,
28110,BT1061,ROCKSPRING PARK,,39.030102,-77.135857,,
28112,BT1068,ROCKSPRING PARK,,39.030178,-77.135818,,
28113,BT1069,ARROWHEAD DR.& REDWOOD PlACE,,38.871265,-77.311722,,
28114,BT107,MINNESOTA & B,,38.887444,-76.954788,,
28115,BT1070,ARROWHEAD DR. & ARROWHEAD CIRCLE,,38.871464,-77.312996,,
28116,BT1071,SHIRLINGTON TRAN CTR,,38.839245,-77.08754,,
28117,BT1072,SHIRLINGTON STA,,38.839245,-77.08754,,
28118,BT1073,ST GEORGE & WATERFRONT ST,,38.782234,-77.014114,,
28119,BT1079,SOUSA MIDDLE SCHOOL,,38.883614,-76.95314,,
28120,BT108,POTOMAC AVE STA,,38.880516,-76.985916,,
28121,BT1080,BRADBURY HTS (RDG-TEXAS),,38.880856,-76.94577,,
28122,BT1081,SIX FLAGS,,38.901035,-76.771378,,
28123,BT109,M & HALF SE,,38.876453,-77.007439,,
28124,BT1092,R STREET & 7TH STREET NW,,38.912628,-77.022675,,
28125,BT1098,EDSALL RD & YOAKUM PKWY,,38.807758,-77.138634,,
28126,BT11,RHODE ISLAND & 7TH NW,,38.912319,-77.021942,,
28127,BT1106,FREDERICK RD & W. GUDE DR,,39.106583,-77.158478,,
28128,BT1108,K STREET & NORTH CAPITOL STREET,,38.902504,-77.009048,,
28129,BT1109,MASS AVENUE & 7TH STREET,,38.902069,-77.021896,,
28130,BT112,DEANWOOD STA,,38.907879,-76.93502,,
28131,BT114,PENNSYLVANIA AVE & 14TH SE,,38.88007,-76.985718,,
28132,BT1142,GREENBELT RD + GREENWAY SC,,38.994225,-76.875099,,
28133,BT1143,ORA GLEN DR + MANDAN RD,,38.988937,-76.864182,,
28134,BT1144,ANNAPOLIS RD + 85TH AVE,,38.957859,-76.869255,,
28135,BT1145,CIPRIANO RD + TUCKERMAN ST,,38.977203,-76.854607,,
28136,BT1146,PHELPS HIGH SCHOOL,,38.900333,-76.970222,,
28137,BT1147,NEW YORK AVE & 12TH NW,,38.900715,-77.028099,,
28138,BT1148,WESLEY HOUSE,,38.925213,-76.955582,,
28139,BT1149,KENILWORTH AVE & RIVERDALE RD,,38.958946,-76.920036,,
28140,BT115,MINNESOTA & 36TH,,38.887447,-76.954727,,
28141,BT1150,QUEENS CHAPEL & 21ST (AVONDALE),,38.946701,-76.976402,,
28142,BT1151,QUEENS CHAPEL & CARSON(AVONDALE),,38.946793,-76.976479,,
28143,BT1153,BURK CTR PKWY & WILMINGTON EAST),,38.78775,-77.287598,,
28144,BT1155,SOUTHERN AVE & CHESAPEAKE ST,,38.829239,-76.991051,,
28145,BT1157,MARK CENTER TRANSIT CENTER,,38.831688,-77.117302,,
28146,BT1158,FT. BELVOIR COMMUNITY HOSPITAL,,38.704697,-77.141594,,
28147,BT116,BENNING HTS (H-46TH PL SE),,38.878643,-76.933769,,
28148,BT1162,CONVENTN CTR (K & 6TH NW),,38.902527,-77.019913,,
28149,BT1165,UNION STA (MASS AVE & 1ST NE),,38.897213,-77.0084,,
28150,BT1166,OLD CHAPEL RD & LAUREL-BOWIE RD,,38.98484,-76.756363,,
28151,BT1167,MD AVE & BLAD RD,,38.900593,-76.982315,,
28152,BT117,ARCHIVES (9TH & CONS NW),,38.892727,-77.023941,,
28153,BT1170,GEORGIA AVE AND ICC P&R,,39.116646,-77.076012,,
28154,BT1171,UNION STA (E ST & MASS AVE),,38.896309,-77.008804,,
28155,BT1172,VALLEY DRIVE & GUNSTON ROAD,,38.838356,-77.079247,,
28156,BT1173,FM RUN & COLUMBIA PIKE,,38.85643,-77.108643,,
28157,BT1174,FM RUN & COLUMBIA PIKE,,38.856285,-77.108406,,
28158,BT1175,7 CORNERS TRANSIT CTR,,38.870846,-77.153008,,
28159,BT1176,HUNTING POINT,,38.792282,-77.050026,,
28161,BT118,DUKE & WALKER STS,,38.81424,-77.133881,,
28162,BT1180,20TH & NEW HAMPSHIRE AVE NW,,38.907742,-77.044945,,
28163,BT1181,BALTIMORE AND EAST WEST HWY,,38.96365,-76.939156,,
28164,BT1182,RIVERDALE RD AND 57TH AVE,,38.959229,-76.918678,,
28165,BT1183,RIVERDALE RD & AUBURN AVE,,38.964352,-76.896782,,
28166,BT1184,M ST & 4TH ST S.W.,,38.876511,-77.017731,,
28167,BT1185,ADELPHI RD & TULANE DR,,38.984642,-76.955414,,
28168,BT1186,AUBURN RD & RIVERDALE RD,,38.965092,-76.896545,,
28169,BT1188,RIGGS RD & EAST WEST HWY,,38.971577,-76.980026,,
28170,BT1189,FARR SQ (17TH ST (W)  & I ST),,38.901306,-77.039444,,
28171,BT1190,CONNECTICUT & FLORIDA AVE.,,38.91497,-77.046097,,
28172,BT1191,FARR SQ (17TH ST(W) & I),,38.90134,-77.039452,,
28173,BT1192,CONNECTICUT & LEROY PL.,,38.915344,-77.046364,,
28174,BT1193,CALVERT ST NW & CONNECTICUT AVE,,38.923183,-77.051392,,
28175,BT1199,WISCONSIN & NEWARK,,38.934639,-77.072449,,
28177,BT1202,RANDOLPH AND LAUDERDALE DR,,39.053604,-77.104179,,
28178,BT1203,RANDOLPH AND PUTNAM,,39.053623,-77.103058,,
28179,BT1204,EAST CAMPUS DR AT BISDORF BLDG,,38.840626,-77.11615,,
28180,BT1205,37TH & O ST NW,,38.907673,-77.071594,,
28181,BT1206,NEW HAMPSHIRE & EAST WEST HWY,,38.975319,-76.994263,,
28182,BT1207,BLADENSBURG HIGH SCHOOL,,38.942604,-76.91716,,
28183,BT1210,S CAPITOL & MALCOLM X,,38.8451,-77.008278,,
28184,BT1214,COLUMBIA PIKE & ORME STREET,,38.866486,-77.071899,,
28185,BT1216,EAST-WEST & CONN,,38.987919,-77.077148,,
28186,BT1219,US COAST GUARD HQ,,38.853336,-77.005066,,
28187,BT122,EDSALL RD & CHEROKEE,,38.80481,-77.168228,,
28188,BT1223,ARLINGTON BLVD & JAVIER ST.,,38.86552,-77.235596,,
28189,BT1224,JERMANTOWN & US 50,,38.856117,-77.332321,,
28190,BT1225,FAIRFAX CTY GOV CTR,,38.853085,-77.357948,,
28191,BT1227,TYSONS CORNER STA S,,38.920025,-77.222603,,
28192,BT1229,DUKE ST & JORDAN ST,,38.81208,-77.109612,,
28193,BT123,BACKLICK RD & RHODEN CT,,38.796051,-77.186127,,
28194,BT1230,FDA (WB Mahan),,39.033909,-76.985619,,
28195,BT1231,NEW HAMPSHIRE AVE + POWDER MILL,,39.022038,-76.97718,,
28196,BT1232,RIGGS & CHILLUM,,38.958771,-77.001122,,
28197,BT1233,FDA (EB Mahan),,39.034153,-76.984879,,
28198,BT1235,VISTA DR. & GLEN CAROLYN DR.,,38.852783,-77.14106,,
28199,BT1236,GLEN CAROLYN DR. & VISTA DR.,,38.852787,-77.14106,,
28200,BT1237,MCLEAN STA,,38.924259,-77.208771,,
28201,BT1238,WAPLES MILL & ROUTE 50,,38.857353,-77.335442,,
28202,BT1239,WAPLES MILL & ROUTE 50,,38.857372,-77.335457,,
28203,BT1240,ALEXANDRIA COMMONS SHOP. CTR,,38.808064,-77.085861,,
28204,BT1241,ALABAMA ST & 13TH ST SE,,38.844677,-76.988518,,
28205,BT1242,TRENTON PL & 19TH ST SE,,38.845112,-76.976501,,
28206,BT1244,LINDEN RESOURCES,,38.853291,-77.059441,,
28207,BT1245,STADIUM DR & UNIVERSITY BLVD,,38.991573,-76.949799,,
28208,BT1247,EYE & 17TH NW (FARR SQ),,38.901321,-77.039436,,
28209,BT1249,POTOMAC YARD SC,,38.837303,-77.049004,,
28210,BT125,SPRINGFIELD,,38.799538,-77.182755,,
28211,BT1250,NAYLOR & ALABAMA,,38.858852,-76.968185,,
28212,BT1254,WILLIAMS DR & WILLOW OAKS,,38.864899,-77.234245,,
28213,BT1255,JASPER & 12TH SE,,38.851151,-76.985252,,
28214,BT1256,OLD GEORGETOWN RD AT CEDAR LN,,39.00452,-77.110725,,
