shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1277134,39.2790550678983,-76.5958858395262,1,0
p_1277134,39.2759223488919,-76.5897419100096,2,634.04463807
p_1277135,39.2759223488919,-76.5897419100096,1,0
p_1277135,39.2790550678983,-76.5958858395262,2,634.04463807
p_1277138,39.2759223488919,-76.5897419100096,1,0
p_1277138,39.275714742265706,-76.5869846487609,2,239.03533355
p_1277138,39.27322512088347,-76.5788348037638,3,994.65813376
p_1277138,39.27336919391519,-76.57754533889533,4,1107.07261541
p_1277138,39.274614384202295,-76.57549814724851,5,1331.38883637
p_1277138,39.27554054444445,-76.57434161690296,6,1474.67877228
p_1277138,39.2768455432895,-76.5740556363514,7,1621.64723794
p_1277139,39.2768455432895,-76.5740556363514,1,0
p_1277139,39.27553890073861,-76.57434368561763,2,147.17840447
p_1277139,39.274602449736136,-76.5754736290589,3,289.71127409
p_1277139,39.27338813199617,-76.57753411415824,4,512.84456648
p_1277139,39.27322347712328,-76.57877040521738,5,621.08161453
p_1277139,39.27571684418396,-76.58700823839612,6,1383.92664932
p_1277139,39.2759223488919,-76.5897419100096,7,1620.913438
p_1277140,39.2818653467095,-76.6070138686386,1,0
p_1277140,39.28294704684856,-76.6048406564782,2,222.66737227
p_1277140,39.2839385813634,-76.60505659187913,3,334.31389462
p_1277140,39.2839428588262,-76.6051524190175,4,342.59540190999996
p_1277141,39.2839428588262,-76.6051524190175,1,0
p_1277141,39.283937509619335,-76.6050574477876,2,8.21552606
p_1277141,39.283015316297224,-76.60484857874164,3,112.17217673
p_1277141,39.2818653467095,-76.6070138686386,4,338.45236893
