trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1484707_b_30547_tn_1,06:00:00,06:00:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_1,06:07:00,06:07:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_10,08:15:00,08:15:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_10,08:22:00,08:22:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_11,08:30:00,08:30:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_11,08:37:00,08:37:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_12,08:45:00,08:45:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_12,08:52:00,08:52:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_13,09:00:00,09:00:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_13,09:07:00,09:07:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_14,09:15:00,09:15:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_14,09:22:00,09:22:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_15,09:30:00,09:30:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_15,09:37:00,09:37:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_16,09:45:00,09:45:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_16,09:52:00,09:52:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_17,10:00:00,10:00:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_17,10:07:00,10:07:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_18,10:15:00,10:15:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_18,10:22:00,10:22:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_19,10:30:00,10:30:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_19,10:37:00,10:37:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_2,06:15:00,06:15:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_2,06:22:00,06:22:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_20,10:45:00,10:45:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_20,10:52:00,10:52:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_21,11:00:00,11:00:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_21,11:07:00,11:07:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_22,11:15:00,11:15:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_22,11:22:00,11:22:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_23,11:30:00,11:30:00,2751862,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1484707_b_30547_tn_23,11:37:00,11:37:00,2751863,2,,0,0,634.04463807,1,,,,,1,1,,,,,,,,,,,
