trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
2495970,06:00:00,06:00:00,12835,1,,0,0,0.000000,0
2495970,06:03:00,06:03:00,13603,2,,0,0,1.038000,0
2495970,06:11:00,06:11:00,11915,3,,0,0,9.570000,0
2495970,06:21:00,06:21:00,13590,4,,0,0,21.826600,0
2495970,06:35:00,06:35:00,11785,5,,0,0,39.394200,0
2495970,07:00:00,07:00:00,12461,6,,0,0,73.801000,0
2495970,07:05:00,07:05:00,3317,7,,0,0,76.869600,0
2495970,07:06:00,07:06:00,11175,8,,0,0,77.481900,0
2495970,07:18:00,07:18:00,2507,9,,0,0,89.140900,0
2495972,04:00:00,04:00:00,12835,1,,0,0,0.000000,0
2495972,04:03:00,04:03:00,13603,2,,0,0,1.038000,0
2495972,04:11:00,04:11:00,11915,3,,0,0,9.570000,0
2495972,04:21:00,04:21:00,13590,4,,0,0,21.826600,0
2495972,04:35:00,04:35:00,11785,5,,0,0,39.394200,0
2495972,05:00:00,05:00:00,12461,6,,0,0,73.801000,0
2495972,05:05:00,05:05:00,3317,7,,0,0,76.869600,0
2495972,05:06:00,05:06:00,11175,8,,0,0,77.481900,0
2495972,05:18:00,05:18:00,2507,9,,0,0,89.140900,0
2495974,14:00:00,14:00:00,12835,1,,0,0,0.000000,0
2495974,14:03:00,14:03:00,13603,2,,0,0,1.038000,0
2495974,14:11:00,14:11:00,11915,3,,0,0,9.570000,0
2495974,14:25:00,14:25:00,13590,4,,0,0,20.962300,0
2495974,14:40:00,14:40:00,11785,5,,0,0,38.529900,0
2495974,15:01:00,15:01:00,12008,6,,0,0,62.911600,0
2495974,15:09:00,15:09:00,2507,7,,1,0,67.766800,0
2495974,15:21:00,15:21:00,3317,8,,1,0,78.129100,0
2495974,15:22:00,15:22:00,11175,9,,1,0,78.741400,0
2495974,15:28:00,15:28:00,12461,10,,1,0,82.209800,0
2495976,12:00:00,12:00:00,12835,1,,0,0,0.000000,0
2495976,12:03:00,12:03:00,13603,2,,0,0,1.038000,0
2495976,12:11:00,12:11:00,11915,3,,0,0,9.570000,0
2495976,12:25:00,12:25:00,13590,4,,0,0,20.982900,0
2495976,12:40:00,12:40:00,11785,5,,0,0,38.550500,0
2495976,13:05:00,13:05:00,2507,6,,0,0,67.787400,0
2495976,13:13:00,13:13:00,3317,7,,0,0,78.149700,0
2495976,13:14:00,13:14:00,11175,8,,0,0,78.761900,0
2495976,13:20:00,13:20:00,12461,9,,1,0,82.230400,0
2495978,10:00:00,10:00:00,12835,1,,0,0,0.000000,0
2495978,10:03:00,10:03:00,13603,2,,0,0,1.038000,0
2495978,10:11:00,10:11:00,11915,3,,0,0,9.570000,0
2495978,10:25:00,10:25:00,13590,4,,0,0,20.982900,0
2495978,10:40:00,10:40:00,11785,5,,0,0,38.550500,0
2495978,11:05:00,11:05:00,2507,6,,0,0,67.787400,0
2495978,11:13:00,11:13:00,3317,7,,0,0,78.149700,0
2495978,11:14:00,11:14:00,11175,8,,0,0,78.761900,0
2495978,11:20:00,11:20:00,12461,9,,1,0,82.230400,0
2495980,08:00:00,08:00:00,12835,1,,0,0,0.000000,0
2495980,08:03:00,08:03:00,13603,2,,0,0,1.038000,0
2495980,08:11:00,08:11:00,11915,3,,0,0,9.570000,0
2495980,08:25:00,08:25:00,13590,4,,0,0,20.982900,0
2495980,08:40:00,08:40:00,11785,5,,0,0,38.550500,0
2495980,09:05:00,09:05:00,2507,6,,0,0,67.787400,0
2495980,09:13:00,09:13:00,3317,7,,0,0,78.149700,0
2495980,09:14:00,09:14:00,11175,8,,0,0,78.761900,0
2495980,09:20:00,09:20:00,12461,9,,1,0,82.230400,0
2495982,18:00:00,18:00:00,12835,1,,0,0,0.000000,0
2495982,18:03:00,18:03:00,13603,2,,0,0,1.038000,0
