route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11694,401,2495972,201/1 BWI AIRPORT,201/1,0,390258,116439,1,0
11694,402,2496004,201/1 BWI AIRPORT,201/1,0,390294,116442,1,0
11694,403,2496034,201/1 BWI AIRPORT,201/1,0,390323,116442,1,0
11694,401,2495974,201/11 BWI AIRPORT,201/11,0,390256,116440,1,0
11694,402,2496014,201/11 BWI AIRPORT,201/11,0,390284,116442,1,0
11694,403,2496044,201/11 BWI AIRPORT,201/11,0,390313,116442,1,0
11694,401,2495984,201/13 BWI AIRPORT,201/13,0,390246,116440,1,0
11694,402,2496016,201/13 BWI AIRPORT,201/13,0,390282,116442,1,0
11694,403,2496046,201/13 BWI AIRPORT,201/13,0,390311,116442,1,0
11694,401,2495982,201/15 BWI AIRPORT,201/15,0,390248,116440,1,0
11694,402,2496018,201/15 BWI AIRPORT,201/15,0,390280,116442,1,0
11694,403,2496048,201/15 BWI AIRPORT,201/15,0,390309,116442,1,0
11694,401,2495986,201/17 GAITHERSBURG,201/17,1,390278,116443,1,0
11694,402,2496020,201/17 GAITHERSBURG,201/17,1,390307,116445,1,0
11694,403,2496050,201/17 GAITHERSBURG,201/17,1,390337,116445,1,0
11694,401,2495988,201/19 GAITHERSBURG,201/19,1,390276,116443,1,0
11694,402,2496022,201/19 GAITHERSBURG,201/19,1,390305,116445,1,0
11694,403,2496052,201/19 GAITHERSBURG,201/19,1,390335,116445,1,0
11694,401,2495990,201/21 GAITHERSBURG,201/21,1,390274,116444,1,0
11694,402,2496024,201/21 GAITHERSBURG,201/21,1,390303,116445,1,0
11694,403,2496054,201/21 GAITHERSBURG,201/21,1,390333,116445,1,0
11694,401,2495992,201/23 GAITHERSBURG,201/23,1,390272,116444,1,0
11694,402,2496026,201/23 GAITHERSBURG,201/23,1,390301,116445,1,0
11694,403,2496056,201/23 GAITHERSBURG,201/23,1,390331,116445,1,0
11694,401,2495994,201/25 GAITHERSBURG,201/25,1,390270,116444,1,0
11694,402,2496028,201/25 GAITHERSBURG,201/25,1,390299,116445,1,0
11694,403,2496058,201/25 GAITHERSBURG,201/25,1,390329,116445,1,0
11694,401,2495996,201/27 GAITHERSBURG,201/27,1,390268,116444,1,0
11694,402,2496030,201/27 GAITHERSBURG,201/27,1,390280,116445,1,0
