route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11638,1,2781725,21 WOODBERRY LIGHT RAIL STATION,,0,4025,124455,1,1
11638,1,2781726,21 WOODBERRY LIGHT RAIL STATION,,0,2000,124455,1,1
11638,1,2781727,21 WOODBERRY LIGHT RAIL STATION,,0,4025,124455,1,1
11638,1,2781728,21 WOODBERRY LIGHT RAIL STATION,,0,2001,124455,1,1
11638,1,2781729,21 WOODBERRY LIGHT RAIL STATION,,0,2000,124455,1,1
11638,1,2781730,21 WOODBERRY LIGHT RAIL STATION,,0,2004,124455,1,1
11638,1,2781731,21 WOODBERRY LIGHT RAIL STATION,,0,4025,124455,1,1
11638,1,2781732,21 WOODBERRY LIGHT RAIL STATION,,0,2002,124455,1,1
11638,1,2781733,21 WOODBERRY LIGHT RAIL STATION,,0,2003,124455,1,1
11638,1,2781734,21 WOODBERRY LIGHT RAIL STATION,,0,2004,124455,1,1
11638,1,2781735,21 WOODBERRY LIGHT RAIL STATION,,0,4026,124455,1,1
11638,1,2781736,21 WOODBERRY LIGHT RAIL STATION,,0,2002,124455,1,1
11638,1,2781737,21 WOODBERRY LIGHT RAIL STATION,,0,2003,124455,1,1
11638,1,2781738,21 WOODBERRY LIGHT RAIL STATION,,0,2004,124455,1,1
11638,1,2781739,21 WOODBERRY LIGHT RAIL STATION,,0,4026,124455,1,1
11638,1,2781740,21 WOODBERRY LIGHT RAIL STATION,,0,2002,124455,1,1
11638,1,2781741,21 WOODBERRY LIGHT RAIL STATION,,0,2003,124455,1,1
11638,1,2781742,21 WOODBERRY LIGHT RAIL STATION,,0,4028,124455,1,1
11638,1,2781743,21 WOODBERRY LIGHT RAIL STATION,,0,4026,124455,1,1
11638,1,2781744,21 WOODBERRY LIGHT RAIL STATION,,0,2002,124455,1,1
11638,1,2781745,21 WOODBERRY LIGHT RAIL STATION,,0,2007,124455,1,1
11638,1,2781746,21 WOODBERRY LIGHT RAIL STATION,,0,4028,124455,1,1
11638,1,2781747,21 WOODBERRY LIGHT RAIL STATION,,0,2009,124455,1,1
11638,1,2781748,21 WOODBERRY LIGHT RAIL STATION,,0,2006,124455,1,1
11638,1,2781749,21 WOODBERRY LIGHT RAIL STATION,,0,2007,124455,1,1
11638,1,2781750,21 WOODBERRY LIGHT RAIL STATION,,0,4028,124455,1,1
11638,1,2781751,21 WOODBERRY LIGHT RAIL STATION,,0,2008,124455,1,1
11638,1,2781752,21 WOODBERRY LIGHT RAIL STATION,,0,2006,124455,1,1
11638,1,2781753,21 WOODBERRY LIGHT RAIL STATION,,0,4027,124455,1,1
11638,1,2781754,21 WOODBERRY LIGHT RAIL STATION,,0,2008,124455,1,1
11638,1,2781755,21 WOODBERRY LIGHT RAIL STATION,,0,2006,124455,1,1
11638,1,2781756,21 WOODBERRY LIGHT RAIL STATION,,0,4027,124455,1,1
11638,1,2781757,21 WOODBERRY LIGHT RAIL STATION,,0,2008,124455,1,1
11638,1,2781758,21 WOODBERRY LIGHT RAIL STATION,,0,2006,124455,1,1
11638,1,2781759,21 WOODBERRY LIGHT RAIL STATION,,0,4027,124455,1,1
11638,1,2781760,21 WOODBERRY LIGHT RAIL STATION,,0,2008,124455,1,1
11638,1,2781761,21 HAMPDEN,,0,2537,124457,1,1
11638,1,2781762,21 CANTON CROSSING,,1,2000,124458,1,1
11638,1,2781763,21 CANTON CROSSING,,1,4025,124458,1,1
11638,1,2781764,21 CANTON CROSSING,,1,2000,124458,1,1
11638,1,2781765,21 CANTON CROSSING,,1,4025,124458,1,1
11638,1,2781766,21 CANTON CROSSING,,1,2001,124458,1,1
11638,1,2781767,21 CANTON CROSSING,,1,2000,124458,1,1
11638,1,2781768,21 CANTON CROSSING,,1,2004,124458,1,1
11638,1,2781769,21 CANTON CROSSING,,1,4026,124458,1,1
11638,1,2781770,21 CANTON CROSSING,,1,2002,124458,1,1
11638,1,2781771,21 CANTON CROSSING,,1,2003,124458,1,1
11638,1,2781772,21 CANTON CROSSING,,1,2004,124458,1,1
11638,1,2781773,21 CANTON CROSSING,,1,4026,124458,1,1
11638,1,2781774,21 CANTON CROSSING,,1,2002,124458,1,1
11638,1,2781775,21 CANTON CROSSING,,1,2003,124458,1,1
11638,1,2781776,21 CANTON CROSSING,,1,4028,124458,1,1
11638,1,2781777,21 CANTON CROSSING,,1,4026,124458,1,1
11638,1,2781778,21 CANTON CROSSING,,1,2002,124458,1,1
11638,1,2781779,21 CANTON CROSSING,,1,2003,124458,1,1
11638,1,2781780,21 CANTON CROSSING,,1,4028,124458,1,1
11638,1,2781781,21 CANTON CROSSING,,1,2005,124458,1,1
11638,1,2781782,21 CANTON CROSSING,,1,2002,124458,1,1
11638,1,2781783,21 CANTON CROSSING,,1,2007,124458,1,1
11638,1,2781784,21 CANTON CROSSING,,1,4028,124458,1,1
11638,1,2781785,21 CANTON CROSSING,,1,2009,124458,1,1
11638,1,2781786,21 CANTON CROSSING,,1,2006,124458,1,1
11638,1,2781787,21 CANTON CROSSING,,1,4027,124458,1,1
11638,1,2781788,21 CANTON CROSSING,,1,2007,124458,1,1
11638,1,2781789,21 CANTON CROSSING,,1,2008,124458,1,1
11638,1,2781790,21 CANTON CROSSING,,1,2006,124458,1,1
11638,1,2781791,21 CANTON CROSSING,,1,4027,124458,1,1
11638,1,2781792,21 CANTON CROSSING,,1,2008,124458,1,1
11638,1,2781793,21 CANTON CROSSING,,1,2006,124458,1,1
11638,1,2781794,21 CANTON CROSSING,,1,4027,124458,1,1
11638,1,2781795,21 CANTON CROSSING,,1,4027,124458,1,1
11638,1,2781796,21 CANTON CROSSING,,1,2008,124458,1,1
11638,1,2781797,21 CANTON CROSSING,,1,2006,124458,1,1
11638,1,2781798,21 CANTON CROSSING,,1,2011,124460,1,1
11639,1,2781951,22 MONDAWMIN METRO,,0,2050,124461,1,1
11639,1,2781952,22 MONDAWMIN METRO,,0,2051,124461,1,1
11639,1,2781953,22 MONDAWMIN METRO,,0,4006,124461,1,1
11639,1,2781954,22 MONDAWMIN METRO,,0,4000,124461,1,1
11639,1,2781955,22 MONDAWMIN METRO,,0,4004,124461,1,1
11639,1,2781956,22 MONDAWMIN METRO,,0,2051,124461,1,1
11639,1,2781957,22 MONDAWMIN METRO,,0,2052,124461,1,1
11639,1,2781958,22 MONDAWMIN METRO,,0,2060,124461,1,1
11639,1,2781959,22 MONDAWMIN METRO,,0,2062,124461,1,1
11639,1,2781960,22 MONDAWMIN METRO,,0,2061,124461,1,1
11639,1,2781961,22 MONDAWMIN METRO,,0,4001,124461,1,1
11639,1,2781962,22 MONDAWMIN METRO,,0,4000,124461,1,1
11639,1,2781963,22 MONDAWMIN METRO,,0,4002,124461,1,1
11639,1,2781964,22 MONDAWMIN METRO,,0,4003,124461,1,1
11639,1,2781965,22 MONDAWMIN METRO,,0,4008,124461,1,1
11639,1,2781966,22 MONDAWMIN METRO,,0,4010,124461,1,1
11639,1,2781967,22 MONDAWMIN METRO,,0,4004,124461,1,1
11639,1,2781968,22 MONDAWMIN METRO,,0,4009,124461,1,1
11639,1,2781969,22 MONDAWMIN METRO,,0,2054,124461,1,1
11639,1,2781970,22 MONDAWMIN METRO,,0,2052,124461,1,1
11639,1,2781971,22 MONDAWMIN METRO,,0,2053,124461,1,1
11639,1,2781972,22 MONDAWMIN METRO,,0,2062,124461,1,1
11639,1,2781973,22 MONDAWMIN METRO,,0,2061,124461,1,1
11639,1,2781974,22 MONDAWMIN METRO,,0,4001,124461,1,1
11639,1,2781975,22 MONDAWMIN METRO,,0,2064,124461,1,1
11639,1,2781976,22 MONDAWMIN METRO,,0,4003,124461,1,1
11639,1,2781977,22 MONDAWMIN METRO,,0,4008,124461,1,1
11639,1,2781978,22 MONDAWMIN METRO,,0,4010,124461,1,1
11639,1,2781979,22 MONDAWMIN METRO,,0,4009,124461,1,1
11639,1,2781980,22 MONDAWMIN METRO,,0,2054,124461,1,1
11639,1,2781981,22 MONDAWMIN METRO,,0,2053,124461,1,1
11639,1,2781982,22 MONDAWMIN METRO,,0,2062,124461,1,1
11639,1,2781983,22 MONDAWMIN METRO,,0,2061,124461,1,1
11639,1,2781984,22 MONDAWMIN METRO,,0,2064,124461,1,1
11639,1,2781985,22 MONDAWMIN METRO,,0,4003,124461,1,1
11639,1,2781986,22 MONDAWMIN METRO,,0,4008,124461,1,1
11639,1,2781987,22 MONDAWMIN METRO,,0,4010,124461,1,1
11639,1,2781988,22 MONDAWMIN METRO,,0,4009,124461,1,1
11639,1,2781989,22 MONDAWMIN METRO,,0,2054,124461,1,1
11639,1,2781990,22 MONDAWMIN METRO,,0,2053,124461,1,1
11639,1,2781991,22 MONDAWMIN METRO,,0,2062,124461,1,1
11639,1,2781992,22 MONDAWMIN METRO,,0,2061,124461,1,1
11639,1,2781993,22 MONDAWMIN METRO,,0,2064,124461,1,1
11639,1,2781994,22 MONDAWMIN METRO,,0,4014,124461,1,1
11639,1,2781995,22 MONDAWMIN METRO,,0,4008,124461,1,1
11639,1,2781996,22 MONDAWMIN METRO,,0,2055,124461,1,1
11639,1,2781997,22 MONDAWMIN METRO,,0,4010,124461,1,1
11639,1,2781998,22 MONDAWMIN METRO,,0,4009,124461,1,1
11639,1,2781999,22 MONDAWMIN METRO,,0,4013,124461,1,1
11639,1,2782000,22 MONDAWMIN METRO,,0,2059,124461,1,1
11639,1,2782001,22 MONDAWMIN METRO,,0,4011,124461,1,1
11639,1,2782002,22 MONDAWMIN METRO,,0,4005,124461,1,1
11639,1,2782003,22 MONDAWMIN METRO,,0,2062,124461,1,1
11639,1,2782004,22 MONDAWMIN METRO,,0,2056,124461,1,1
11639,1,2782005,22 MONDAWMIN METRO,,0,2065,124461,1,1
11639,1,2782006,22 MONDAWMIN METRO,,0,2063,124461,1,1
11639,1,2782007,22 MONDAWMIN METRO,,0,2066,124461,1,1
11639,1,2782008,22 MONDAWMIN METRO,,0,4008,124461,1,1
11639,1,2782009,22 MONDAWMIN METRO,,0,2055,124461,1,1
11639,1,2782010,22 MONDAWMIN METRO,,0,4010,124461,1,1
11639,1,2782011,22 MONDAWMIN METRO,,0,4012,124461,1,1
11639,1,2782012,22 MONDAWMIN METRO,,0,4009,124461,1,1
11639,1,2782013,22 MONDAWMIN METRO,,0,4013,124461,1,1
11639,1,2782014,22 MONDAWMIN METRO,,0,2058,124461,1,1
11639,1,2782015,22 MONDAWMIN METRO,,0,4011,124461,1,1
11639,1,2782016,22 MONDAWMIN METRO,,0,4005,124461,1,1
11639,1,2782017,22 MONDAWMIN METRO,,0,2056,124461,1,1
11639,1,2782018,22 MONDAWMIN METRO,,0,2065,124461,1,1
11639,1,2782019,22 MONDAWMIN METRO,,0,2066,124461,1,1
