trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
2603405,05:45:00,05:45:00,11976,1,,,,,0
2603405,05:53:00,05:53:00,11977,2,,,,9.6327,0
2603405,06:03:00,06:03:00,11978,3,,,,25.2401,0
2603405,06:15:00,06:15:00,11979,4,,,,39.5975,0
2603405,06:30:00,06:30:00,11980,5,,,,58.3402,0
2603405,06:36:00,06:36:00,11981,6,,,,62.684300,0
2603405,06:42:00,06:42:00,11982,7,,,,69.953800,0
2603405,06:44:00,06:44:00,11984,8,,,,75.188400,0
2603405,06:51:00,06:51:00,11985,9,,,,87.0726,0
2603405,06:58:00,06:58:00,11986,10,,,,95.9871,0
2603405,07:04:00,07:04:00,11987,11,,,,104.7812,0
2603405,07:10:00,07:10:00,11988,12,,,,108.7872,0
2603405,07:34:00,07:34:00,11958,13,,,,122.7757,0
2566898,07:00:00,07:00:00,11980,0,,,,0,1
2566898,07:08:00,07:08:00,11981,1,,,,4.38,1
2566898,07:15:00,07:15:00,11982,2,,,,11.65,1
2566898,07:22:00,07:22:00,11984,3,,,,16.89,1
2566898,07:29:00,07:29:00,11985,4,,,,28.77,1
2566898,07:36:00,07:36:00,11986,5,,,,37.68,1
2566898,07:42:00,07:42:00,11987,6,,,,46.48,1
2566898,07:48:00,07:48:00,11988,7,,,,50.48,1
2566898,08:02:00,08:02:00,11958,8,,,,64.47,1
2566900,08:15:00,08:15:00,11980,0,,,,0,1
2566900,08:23:00,08:23:00,11981,1,,,,4.38,1
2566900,08:30:00,08:30:00,11982,2,,,,11.65,1
2566900,08:37:00,08:37:00,11984,3,,,,16.85,1
2566900,08:44:00,08:44:00,11985,4,,,,28.73,1
2566900,08:51:00,08:51:00,11986,5,,,,37.65,1
2566900,08:57:00,08:57:00,11987,6,,,,46.48,1
2566900,09:03:00,09:03:00,11988,7,,,,50.45,1
2566900,09:18:00,09:18:00,11958,8,,,,64.44,1
2603426,15:50:00,15:50:00,11979,1,,,,,0
2603426,16:18:00,16:18:00,11980,2,,,,18.3284,0
2603426,16:23:00,16:23:00,11981,3,,,,22.6725,0
