trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,next_stop_time
2603405,0 days 05:45:00.000000000,0 days 05:45:00.000000000,11976,1,,,,,0,8.0
2603405,0 days 05:53:00.000000000,0 days 05:53:00.000000000,11977,2,,,,9.6327,0,10.0
2603405,0 days 06:03:00.000000000,0 days 06:03:00.000000000,11978,3,,,,25.2401,0,12.0
2603405,0 days 06:15:00.000000000,0 days 06:15:00.000000000,11979,4,,,,39.5975,0,15.0
2603405,0 days 06:30:00.000000000,0 days 06:30:00.000000000,11980,5,,,,58.3402,0,6.0
2603405,0 days 06:36:00.000000000,0 days 06:36:00.000000000,11981,6,,,,62.6843,0,6.0
2603405,0 days 06:42:00.000000000,0 days 06:42:00.000000000,11982,7,,,,69.9538,0,2.0
2603405,0 days 06:44:00.000000000,0 days 06:44:00.000000000,11984,8,,,,75.1884,0,7.0
2603405,0 days 06:51:00.000000000,0 days 06:51:00.000000000,11985,9,,,,87.0726,0,7.0
2603405,0 days 06:58:00.000000000,0 days 06:58:00.000000000,11986,10,,,,95.9871,0,6.0
2603405,0 days 07:04:00.000000000,0 days 07:04:00.000000000,11987,11,,,,104.7812,0,6.0
2603405,0 days 07:10:00.000000000,0 days 07:10:00.000000000,11988,12,,,,108.7872,0,24.0
2603405,0 days 07:34:00.000000000,0 days 07:34:00.000000000,11958,13,,,,122.7757,0,-34.0
2566898,0 days 07:00:00.000000000,0 days 07:00:00.000000000,11980,0,,,,0.0,1,-1.0
2566898,0 days 07:08:00.000000000,0 days 07:08:00.000000000,11981,1,,,,4.38,1,7.0
2566898,0 days 07:15:00.000000000,0 days 07:15:00.000000000,11982,2,,,,11.65,1,7.0
2566898,0 days 07:22:00.000000000,0 days 07:22:00.000000000,11984,3,,,,16.89,1,7.0
2566898,0 days 07:29:00.000000000,0 days 07:29:00.000000000,11985,4,,,,28.77,1,7.0
2566898,0 days 07:36:00.000000000,0 days 07:36:00.000000000,11986,5,,,,37.68,1,6.0
2566898,0 days 07:42:00.000000000,0 days 07:42:00.000000000,11987,6,,,,46.48,1,6.0
2566898,0 days 07:48:00.000000000,0 days 07:48:00.000000000,11988,7,,,,50.48,1,14.0
2566898,0 days 08:02:00.000000000,0 days 08:02:00.000000000,11958,8,,,,64.47,1,13.0
2566900,0 days 08:15:00.000000000,0 days 08:15:00.000000000,11980,0,,,,0.0,1,-1.0
2566900,0 days 08:23:00.000000000,0 days 08:23:00.000000000,11981,1,,,,4.38,1,7.0
2566900,0 days 08:30:00.000000000,0 days 08:30:00.000000000,11982,2,,,,11.65,1,7.0
2566900,0 days 08:37:00.000000000,0 days 08:37:00.000000000,11984,3,,,,16.85,1,7.0
2566900,0 days 08:44:00.000000000,0 days 08:44:00.000000000,11985,4,,,,28.73,1,7.0
2566900,0 days 08:51:00.000000000,0 days 08:51:00.000000000,11986,5,,,,37.65,1,6.0
2566900,0 days 08:57:00.000000000,0 days 08:57:00.000000000,11987,6,,,,46.48,1,6.0
2566900,0 days 09:03:00.000000000,0 days 09:03:00.000000000,11988,7,,,,50.45,1,15.0
2566900,0 days 09:18:00.000000000,0 days 09:18:00.000000000,11958,8,,,,64.44,1,-1.0
2603426,0 days 15:50:00.000000000,0 days 15:50:00.000000000,11979,1,,,,,0,28.0
2603426,0 days 16:18:00.000000000,0 days 16:18:00.000000000,11980,2,,,,18.3284,0,5.0
2603426,0 days 16:23:00.000000000,0 days 16:23:00.000000000,11981,3,,,,22.6725,0,5.0
2603426,0 days 16:28:00.000000000,0 days 16:28:00.000000000,11982,4,,,,29.941999999999997,0,10.0
2603426,0 days 16:38:00.000000000,0 days 16:38:00.000000000,11984,5,,,,35.1765,0,7.0
2603426,0 days 16:45:00.000000000,0 days 16:45:00.000000000,11985,6,,,,47.0608,0,6.0
2603426,0 days 16:51:00.000000000,0 days 16:51:00.000000000,11986,7,,,,55.9753,0,3.0
2603426,0 days 16:54:00.000000000,0 days 16:54:00.000000000,11987,8,,,,64.7694,0,2.0
2603426,0 days 16:56:00.000000000,0 days 16:56:00.000000000,11988,9,,,,68.7753,0,17.0
2603426,0 days 17:13:00.000000000,0 days 17:13:00.000000000,11958,10,,,,82.7639,0,-1.0
2603441,0 days 16:45:00.000000000,0 days 16:45:00.000000000,11958,1,,,,,0,10.0
2603441,0 days 16:55:00.000000000,0 days 16:55:00.000000000,11989,2,,,,13.9878,0,4.0
2603441,0 days 16:59:00.000000000,0 days 16:59:00.000000000,11990,3,,,,17.9945,0,7.0
2603441,0 days 17:06:00.000000000,0 days 17:06:00.000000000,11991,4,,,,26.78,0,8.0
2603441,0 days 17:14:00.000000000,0 days 17:14:00.000000000,11992,5,,,,35.7031,0,13.0
2603441,0 days 17:27:00.000000000,0 days 17:27:00.000000000,11993,6,,,,47.5877,0,4.0
2603441,0 days 17:31:00.000000000,0 days 17:31:00.000000000,11994,7,,,,52.8219,0,6.0
2603441,0 days 17:37:00.000000000,0 days 17:37:00.000000000,11995,8,,,,60.0914,0,10.0
2603441,0 days 17:47:00.000000000,0 days 17:47:00.000000000,12002,9,,,,64.4355,0,23.0
2603441,0 days 18:10:00.000000000,0 days 18:10:00.000000000,12003,10,,,,82.7639,0,-1.0
2603454,0 days 17:25:00.000000000,0 days 17:25:00.000000000,11958,1,,,,,0,12.0
2603454,0 days 17:37:00.000000000,0 days 17:37:00.000000000,11989,2,,,,13.9878,0,4.0
2603454,0 days 17:41:00.000000000,0 days 17:41:00.000000000,11990,3,,,,17.9945,0,7.0
2603454,0 days 17:48:00.000000000,0 days 17:48:00.000000000,11991,4,,,,26.78,0,8.0
2603454,0 days 17:56:00.000000000,0 days 17:56:00.000000000,11992,5,,,,35.7031,0,9.0
2603454,0 days 18:05:00.000000000,0 days 18:05:00.000000000,11993,6,,,,47.5877,0,6.0
2603454,0 days 18:11:00.000000000,0 days 18:11:00.000000000,11994,7,,,,52.8219,0,10.0
2603454,0 days 18:21:00.000000000,0 days 18:21:00.000000000,11995,8,,,,60.0914,0,18.0
2603454,0 days 18:39:00.000000000,0 days 18:39:00.000000000,12002,9,,,,64.4355,0,-1.0
2603455,0 days 17:58:00.000000000,0 days 17:58:00.000000000,11958,1,,,,,0,15.0
2603455,0 days 18:13:00.000000000,0 days 18:13:00.000000000,11989,2,,,,13.9878,0,4.0
2603455,0 days 18:17:00.000000000,0 days 18:17:00.000000000,11990,3,,,,17.9945,0,7.0
2603455,0 days 18:24:00.000000000,0 days 18:24:00.000000000,11991,4,,,,26.78,0,8.0
2603455,0 days 18:32:00.000000000,0 days 18:32:00.000000000,11992,5,,,,35.7031,0,9.0
2603455,0 days 18:41:00.000000000,0 days 18:41:00.000000000,11993,6,,,,47.5877,0,6.0
2603455,0 days 18:47:00.000000000,0 days 18:47:00.000000000,11994,7,,,,52.8219,0,7.0
2603455,0 days 18:54:00.000000000,0 days 18:54:00.000000000,11995,8,,,,60.0914,0,13.0
2603455,0 days 19:07:00.000000000,0 days 19:07:00.000000000,12002,9,,,,64.4355,0,21.0
2603455,0 days 19:28:00.000000000,0 days 19:28:00.000000000,12003,10,,,,82.7639,0,-1.0
2603474,0 days 08:30:00.000000000,0 days 08:30:00.000000000,11979,1,,,,,0,25.0
2603474,0 days 08:55:00.000000000,0 days 08:55:00.000000000,11980,2,,,,18.3285,0,7.0
