trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,next_stop_time
2553887,0 days 05:00:00.000000000,0 days 05:00:00.000000000,7500,1,,,,,4.0
2553887,0 days 05:04:00.000000000,0 days 05:04:00.000000000,10906,2,,,,5.6206,3.0
2553887,0 days 05:07:00.000000000,0 days 05:07:00.000000000,11422,3,,,,7.8746,2.0
2553887,0 days 05:09:00.000000000,0 days 05:09:00.000000000,4819,4,,,,9.8143,2.0
2553887,0 days 05:11:00.000000000,0 days 05:11:00.000000000,10419,5,,,,11.0505,2.0
2553887,0 days 05:13:00.000000000,0 days 05:13:00.000000000,5585,6,,,,13.2051,3.0
2553887,0 days 05:16:00.000000000,0 days 05:16:00.000000000,7503,7,,,,16.2367,2.0
2553887,0 days 05:18:00.000000000,0 days 05:18:00.000000000,7504,8,,,,17.4944,2.0
2553887,0 days 05:20:00.000000000,0 days 05:20:00.000000000,7505,9,,,,18.2394,2.0
2553887,0 days 05:22:00.000000000,0 days 05:22:00.000000000,7506,10,,,,19.9023,1.0
2553887,0 days 05:23:00.000000000,0 days 05:23:00.000000000,7507,11,,,,21.0583,2.0
2553887,0 days 05:25:00.000000000,0 days 05:25:00.000000000,7508,12,,,,21.7744,2.0
2553887,0 days 05:27:00.000000000,0 days 05:27:00.000000000,7509,13,,,,22.6286,2.0
2553887,0 days 05:29:00.000000000,0 days 05:29:00.000000000,7510,14,,,,24.2364,-1.0
2553888,0 days 05:15:00.000000000,0 days 05:15:00.000000000,7500,1,,,,,4.0
2553888,0 days 05:19:00.000000000,0 days 05:19:00.000000000,10906,2,,,,5.6206,3.0
2553888,0 days 05:22:00.000000000,0 days 05:22:00.000000000,11422,3,,,,7.8746,2.0
2553888,0 days 05:24:00.000000000,0 days 05:24:00.000000000,4819,4,,,,9.8143,2.0
2553888,0 days 05:26:00.000000000,0 days 05:26:00.000000000,10419,5,,,,11.0505,2.0
2553888,0 days 05:28:00.000000000,0 days 05:28:00.000000000,5585,6,,,,13.2051,3.0
2553888,0 days 05:31:00.000000000,0 days 05:31:00.000000000,7503,7,,,,16.2367,2.0
2553888,0 days 05:33:00.000000000,0 days 05:33:00.000000000,7504,8,,,,17.4944,2.0
2553888,0 days 05:35:00.000000000,0 days 05:35:00.000000000,7505,9,,,,18.2394,2.0
2553888,0 days 05:37:00.000000000,0 days 05:37:00.000000000,7506,10,,,,19.9023,1.0
2553888,0 days 05:38:00.000000000,0 days 05:38:00.000000000,7507,11,,,,21.0583,2.0
2553888,0 days 05:40:00.000000000,0 days 05:40:00.000000000,7508,12,,,,21.7744,2.0
2553888,0 days 05:42:00.000000000,0 days 05:42:00.000000000,7509,13,,,,22.6286,2.0
2553888,0 days 05:44:00.000000000,0 days 05:44:00.000000000,7510,14,,,,24.2364,-1.0
2553889,0 days 06:22:00.000000000,0 days 06:22:00.000000000,7500,1,,,,,4.0
2553889,0 days 06:26:00.000000000,0 days 06:26:00.000000000,10906,2,,,,5.6206,3.0
2553889,0 days 06:29:00.000000000,0 days 06:29:00.000000000,11422,3,,,,7.8746,2.0
2553889,0 days 06:31:00.000000000,0 days 06:31:00.000000000,4819,4,,,,9.8143,2.0
2553889,0 days 06:33:00.000000000,0 days 06:33:00.000000000,10419,5,,,,11.0505,2.0
2553889,0 days 06:35:00.000000000,0 days 06:35:00.000000000,5585,6,,,,13.2051,4.0
2553889,0 days 06:39:00.000000000,0 days 06:39:00.000000000,7503,7,,,,16.2367,2.0
2553889,0 days 06:41:00.000000000,0 days 06:41:00.000000000,7504,8,,,,17.4944,2.0
2553889,0 days 06:43:00.000000000,0 days 06:43:00.000000000,7505,9,,,,18.2394,2.0
2553889,0 days 06:45:00.000000000,0 days 06:45:00.000000000,7506,10,,,,19.9023,1.0
2553889,0 days 06:46:00.000000000,0 days 06:46:00.000000000,7507,11,,,,21.0583,2.0
2553889,0 days 06:48:00.000000000,0 days 06:48:00.000000000,7508,12,,,,21.7744,2.0
2553889,0 days 06:50:00.000000000,0 days 06:50:00.000000000,7509,13,,,,22.6286,2.0
2553889,0 days 06:52:00.000000000,0 days 06:52:00.000000000,7510,14,,,,24.2364,-1.0
2553890,0 days 06:31:00.000000000,0 days 06:31:00.000000000,7500,1,,,,,4.0
2553890,0 days 06:35:00.000000000,0 days 06:35:00.000000000,10906,2,,,,5.6206,3.0
2553890,0 days 06:38:00.000000000,0 days 06:38:00.000000000,11422,3,,,,7.8746,2.0
2553890,0 days 06:40:00.000000000,0 days 06:40:00.000000000,4819,4,,,,9.8143,2.0
2553890,0 days 06:42:00.000000000,0 days 06:42:00.000000000,10419,5,,,,11.0505,2.0
2553890,0 days 06:44:00.000000000,0 days 06:44:00.000000000,5585,6,,,,13.2051,4.0
2553890,0 days 06:48:00.000000000,0 days 06:48:00.000000000,7503,7,,,,16.2367,2.0
2553890,0 days 06:50:00.000000000,0 days 06:50:00.000000000,7504,8,,,,17.4944,2.0
2553890,0 days 06:52:00.000000000,0 days 06:52:00.000000000,7505,9,,,,18.2394,2.0
2553890,0 days 06:54:00.000000000,0 days 06:54:00.000000000,7506,10,,,,19.9023,1.0
2553890,0 days 06:55:00.000000000,0 days 06:55:00.000000000,7507,11,,,,21.0583,2.0
2553890,0 days 06:57:00.000000000,0 days 06:57:00.000000000,7508,12,,,,21.7744,2.0
2553890,0 days 06:59:00.000000000,0 days 06:59:00.000000000,7509,13,,,,22.6286,2.0
2553890,0 days 07:01:00.000000000,0 days 07:01:00.000000000,7510,14,,,,24.2364,-1.0
2553891,0 days 06:39:00.000000000,0 days 06:39:00.000000000,7500,1,,,,,4.0
2553891,0 days 06:43:00.000000000,0 days 06:43:00.000000000,10906,2,,,,5.6206,3.0
2553891,0 days 06:46:00.000000000,0 days 06:46:00.000000000,11422,3,,,,7.8746,2.0
2553891,0 days 06:48:00.000000000,0 days 06:48:00.000000000,4819,4,,,,9.8143,2.0
2553891,0 days 06:50:00.000000000,0 days 06:50:00.000000000,10419,5,,,,11.0505,2.0
2553891,0 days 06:52:00.000000000,0 days 06:52:00.000000000,5585,6,,,,13.2051,4.0
2553891,0 days 06:56:00.000000000,0 days 06:56:00.000000000,7503,7,,,,16.2367,2.0
2553891,0 days 06:58:00.000000000,0 days 06:58:00.000000000,7504,8,,,,17.4944,2.0
