service_id,date,exception_type
30,20211106,1
30,20211113,1
30,20211120,1
30,20211127,1
30,20211204,1
31,20211103,1
31,20211104,1
31,20211105,1
31,20211108,1
31,20211109,1
31,20211110,1
31,20211111,1
31,20211112,1
31,20211115,1
31,20211116,1
31,20211117,1
31,20211118,1
31,20211119,1
31,20211122,1
31,20211123,1
31,20211124,1
31,20211125,1
31,20211126,1
31,20211129,1
31,20211130,1
31,20211201,1
31,20211202,1
31,20211203,1
32,20211103,1
32,20211104,1
32,20211108,1
32,20211109,1
32,20211110,1
32,20211111,1
32,20211115,1
32,20211116,1
32,20211117,1
32,20211118,1
32,20211122,1
32,20211123,1
32,20211124,1
32,20211125,1
32,20211129,1
32,20211130,1
32,20211201,1
32,20211202,1
33,20211105,1
33,20211112,1
33,20211119,1
33,20211126,1
33,20211203,1
39,20211107,1
39,20211114,1
39,20211121,1
39,20211128,1
53,20211106,1
53,20211107,1
54,20211105,1
55,20211111,1
56,20211113,1
56,20211120,1
56,20211127,1
56,20211204,1
57,20211106,1
58,20211114,1
58,20211121,1
58,20211125,1
58,20211128,1
59,20211107,1
60,20211112,1
60,20211119,1
60,20211126,1
60,20211203,1
61,20211108,1
61,20211109,1
61,20211110,1
61,20211115,1
61,20211116,1
61,20211117,1
61,20211118,1
61,20211122,1
61,20211123,1
61,20211124,1
61,20211129,1
61,20211130,1
61,20211201,1
61,20211202,1
62,20211103,1
62,20211104,1
