pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
B03_118308,NODE_B03_AMTRAK_ENT_PASSWAY,NODE_B03_AMTRAK_ENT_ELE_TP,1,1,31.70037471,5,,,,Elevator to Metro,
B03_118309,NODE_B03_AMTRAK_ENT_PASSWAY,NODE_B03_AMTRAK_ENT_ESC_TP,1,1,4.279220813,1,,,,,
B03_118225,ENT_B03_S,NODE_B03_S_ENT_ESC_BT,4,0,86.72371846,34,,,,Metro - Union Station,
B03_118248,NODE_B03_AMTRAK_ENT_ELE_BT,NODE_B03_AMTRAK_ENT_ELE_TP,5,1,6.910742642,180,,,,Elevator B03N01,Elevator B03N01
B03_118239,NODE_B03_NMZ_ELE_BT,NODE_B03_NMZ_ESC_BT,1,1,27.65991479,6,,,,,Elevator
B03_118241,NODE_B03_NMZ_ELE_TP,NODE_B03_NMZ_ELE_BT,5,1,8.563577257,180,,,,Elevator B03N02,Elevator B03N02
B03_118243,NODE_B03_NMZ_ELE_TP,NODE_B03_NMZ_ESC_TP,1,1,17.1760037,3,,,,,Elevator - Red Line - All Trains
B03_118251,NODE_B03_AMTRAK_ENT_ESC_BT,NODE_B03_AMTRAK_ENT_ESC_TP,4,0,44.08370805,19,,,,"Amtrak, Commuter Trains, Shopping Mall","Red Line - Trains to Glenmont, Shady Grove"
B03_118252,NODE_B03_AMTRAK_ENT_ESC_TP,NODE_B03_AMTRAK_ENT_ESC_BT,4,0,43.81301209,19,,,,"Red Line - Trains to Glenmont, Shady Grove","Amtrak, Commuter Trains, Shopping Mall"
B03_118226,NODE_B03_S_ENT_ESC_BT,ENT_B03_S,4,0,86.87889026,34,,,,,
B03_118227,NODE_B03_S_ENT_ESC_BT,NODE_B03_SMZ_PASSWAY,1,1,92.52774347,20,,,,,Up to  Mass Ave/Union Station Shops - Straight Ahead 
B03_118238,NODE_B03_NMZ_ESC_BT,NODE_B03_NMZ_ESC_TP,4,0,60.0414233,23,,,,,
B03_118237,NODE_B03_NMZ_ESC_TP,NODE_B03_NMZ_ESC_BT,4,0,59.74414521,23,,,,,
B03_118244,NODE_B03_NMZ_ESC_TP,NODE_B03_NMZ_FG1_PAID,1,1,34.5086904,6,,,,,Red Line - All Trains
B03_118259,NODE_B03_NMZ_ESC_TP,NODE_B03_NMZ_FG2_PAID,1,1,16.27291336,3,,,,,Red Line - All Trains
B03_118233,NODE_B03_SMZ_ESC1_BT,NODE_B03_SMZ_ESC1_TP,4,0,49.00141974,21,,,,,
