stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
308,,Shaw-Howard University,,38.914482,-77.0217859,69,0,STN_E02,1
999,,Cheverly,,38.916683,-76.916607,5,0,STN_D11,1
1305,,Capitol Heights,,38.889248,-76.913209,5,0,STN_G02,1
1418,,U Street/African-Amer Civil War Memorial/Cardozo,,38.916846,-77.029112,70,0,STN_E03,1
2124,,Landover,,38.9334959,-76.891263,5,0,STN_D12,1
2640,,Medical Center,,38.999079,-77.097782,4,0,STN_A10,1
2658,,New Carrollton,,38.947964,-76.8719,8,0,STN_D13,1
3034,,Prince George's Plaza,,38.965252,-76.955988,5,0,STN_E08,1
3542,,Grosvenor-Strathmore,,39.02912,-77.10382,7,0,STN_A11,1
3969,,Twinbrook,,39.062442,-77.120929,7,0,STN_A13,1
4271,,Wheaton,,39.038667,-77.050199,7,0,STN_B10,1
4364,,Friendship Heights,,38.960923,-77.086095,4,0,STN_A08,1
4387,,Bethesda,,38.984715,-77.094646,4,0,STN_A09,1
4567,,NoMa-Gallaudet U,,38.907319,-77.003321,84,0,STN_B35,1
4613,,Benning Road,,38.890386,-76.937446,10,0,STN_G01,1
4655,,Congress Heights,,38.845379,-76.98786,79,0,STN_F07,1
4664,,Morgan Boulevard,,38.893586,-76.868498,85,0,STN_G04,1
4697,,Largo Town Center,,38.900503,-76.844652,86,0,STN_G05,1
4710,,Brookland-CUA,,38.933232,-76.994474,10,0,STN_B05,1
4905,,Woodley Park-Zoo/Adams Morgan,,38.924576,-77.052377,10,0,STN_A04,1
4912,,Cleveland Park,,38.936141,-77.059008,10,0,STN_A05,1
4941,,Van Ness-UDC,,38.944519,-77.063716,10,0,STN_A06,1
4956,,Dupont Circle,,38.910979,-77.044682,10,0,STN_A03,1
5017,,L'Enfant Plaza,,38.886246,-77.021545,10,0,STN_D03_F03,1
5030,,Deanwood,,38.908216,-76.93516,10,0,STN_D10,1
5110,,Stadium-Armory,,38.885693,-76.977065,10,0,STN_D08,1
5305,,Fort Totten,,38.951803,-77.002169,10,0,STN_B06_E06,1
5635,,Farragut North,,38.902741,-77.039177,10,0,STN_A02,1
5660,,Tenleytown-AU,,38.948084,-77.079395,53,0,STN_A07,1
5759,,Navy Yard-Ballpark,,38.876697,-77.004514,10,0,STN_F05,1
6479,,Eastern Market,,38.884244,-76.995791,10,0,STN_D06,1
6553,,Potomac Ave,,38.880767,-76.985193,10,0,STN_D07,1
6671,,Rhode Island Ave-Brentwood,,38.920875,-76.995971,10,0,STN_B04,1
6751,,Anacosta,,38.862117,-76.995325,10,0,STN_F06,1
6963,,Takoma,,38.975521,-77.017862,10,0,STN_B07,1
