stamsuhh_d,Stamp Student Union - Slip,38.98745,-76.94404
artsoci,Art/Sociology Building,38.98529,-76.94677
camplt1d,Campus Dr at Lot 3,38.98474,-76.95154
univtula,University Blvd and Tulane Dr,38.9854,-76.9588
univshop_out,University Blvd at Adelphi Plaza,38.98464,-76.9671
univguil_out,University Blvd at Campus Gardens,38.98408,-76.97307
univrigg_out,University Blvd and Riggs Rd (Outbound),38.98455,-76.98036
univ14th,University Blvd and 14th Ave,38.98714,-76.98465
univrite,Takoma-Langley Crossroads Transit Center (Outbound),38.98984,-76.98859
merrilock,Merrimac Dr and Lockney Ave,38.99242,-76.99214
carrchest,Carroll Ave and Chester St,38.98993,-76.99356
carrglen,Carroll Ave and Glenside Dr,38.98796,-76.99438
carrgarl,Caroll Ave and Garland Ave (Outbound),38.98622,-76.99632
flowcarr,Flower Ave and Carroll Ave (Outbound),38.98531,-76.99885
flowdivi,Flower Ave at Washington Adventist University (Outbound),38.98676,-76.99985
flowkenne,Flower Ave and Kennebec Ave (Outbound),38.98958,-77.00137
flowhuds,Flower Ave and Hudson (Outbound),38.99246,-77.00218
flowdome,Flower Ave and Domer Ave (Outbound),38.99667,-77.00316
flowplym,Flower Ave and Plymouth St,39.00156,-77.00454
waynslig_out,Wayne Ave and Sligo Creek Pkwy (Outbound),38.99966,-77.01042
wayndale_out,Wayne Ave and Dale Dr (Outbound),38.99938,-77.01728
waynwhol,Wayne Ave and Fenton St (Outbound),38.99597,-77.02355
ssmetro,Silver Spring Metro Station,38.99359,-77.02973
waynfent,Wayne Ave and Fenton St (Inbound),38.99523,-77.02459
wayndale_in,Wayne Ave and Dale Dr (Inbound),38.99924,-77.01775
waynslig_in,Wayne Ave and Manchester Place,39.00164,-77.00772
flowplym_in,Flower Ave and Plymouth St (Inbound),39.00157,-77.00466
flowdome_in,Flower Ave and Domer Ave (Inbound),38.99626,-77.00315
flowhuds_in,Flower Ave and Hudson (Inbound),38.99255,-77.00228
flowkenn_in,Flower Ave and Kennebec (Inbound),38.98971,-77.00155
flowdivi_inn,Flower Ave at Washington Adventist University (Inbound),38.98705,-77.00019
flowcarr_in,Flower Ave and Carroll Ave (Inbound),38.98521,-76.99892
carrgarl_in,Carroll Ave and Garland Ave (Inbound),38.98624,-76.99618
carranne_in,Carroll Ave and Anne St,38.98764,-76.99461
carrwild_in,Carroll Ave and Wildwood Dr,38.98973,-76.99351
merriuniv,Merrimac Dr and University Blvd,38.99249,-76.99173
univhamp,Takoma-Langley Crossroads Transit Center (Inbound),38.99005,-76.98817
univ15th,University Blvd and 15th Ave,38.98525,-76.98189
univhech,University Blvd and Riggs Road (Inbound),38.98347,-76.97768
univ25th_in,University Blvd and 25th Ave,38.98443,-76.96741
univgrad,University Blvd at Graduate Hills,38.98536,-76.95787
cspa_main,Stadium Drive and University Boulevard,38.99179,-76.95022
stadgara,Stadium Drive Garage,38.99183,-76.94767
stadvtho,Varsity Team House,38.9906,-76.94542
stadatl,Stadium Drive at Atlantic Building,38.99056,-76.94212
regegara_a,Regents Drive Garage (Arrival),38.98979,-76.94075
regegara_d,Regents Drive Garage,38.98952,-76.94075
stamsuhh_a,Stamp Student Union - Slip (Arrival),38.98756,-76.94321
