runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_23874_b_33137_d_31,2121,1,1,t_1962768_b_33137_tn_1,37777,t_1962768_b_33137_tn_5,33911
1000000,c_23874_b_33137_d_31,3701,10,1,t_1962540_b_33137_tn_0,37320,t_1962546_b_33137_tn_0,32791
1100000,c_23874_b_33137_d_31,3702,11,1,t_1962541_b_33137_tn_0,37320,t_1962545_b_33137_tn_0,32791
1200000,c_23874_b_33137_d_31,3703,12,1,t_1962388_b_33137_tn_0,32791,t_1962539_b_33137_tn_0,33220
1300000,c_23874_b_33137_d_31,3704,13,1,t_1962534_b_33137_tn_0,32791,t_1962538_b_33137_tn_0,33220
1400000,c_23874_b_33137_d_31,5101,14,1,t_1962584_b_33137_tn_1,37091,t_1962584_b_33137_tn_12,37091
1500000,c_23874_b_33137_d_31,5102,15,1,t_1962583_b_33137_tn_1,37091,t_1962583_b_33137_tn_48,37091
1600000,c_23874_b_33137_d_31,5103,16,1,t_1962386_b_33137_tn_1,33425,t_1962385_b_33137_tn_13,38330
1700000,c_23874_b_33137_d_31,5104,17,1,t_1962384_b_33137_tn_1,37090,t_1962383_b_33137_tn_12,37090
1800000,c_23874_b_33137_d_31,5105,18,1,t_1962582_b_33137_tn_1,37091,t_1962582_b_33137_tn_16,37091
1900000,c_23874_b_33137_d_63,1101,19,1,t_1962724_b_33137_tn_1,33354,t_1962725_b_33137_tn_4,33354
200000,c_23874_b_33137_d_31,2122,2,1,t_1962772_b_33137_tn_1,33911,t_1962772_b_33137_tn_5,37777
2000000,c_23874_b_33137_d_63,1102,20,1,t_1962728_b_33137_tn_1,33354,t_1962721_b_33137_tn_3,33354
2100000,c_23874_b_33137_d_63,1301,21,1,t_1962356_b_33137_tn_1,34225,t_1962356_b_33137_tn_17,34225
2200000,c_23874_b_33137_d_63,1401,22,1,t_1962773_b_33137_tn_1,38430,t_1962773_b_33137_tn_17,38430
2300000,c_23874_b_33137_d_63,1402,23,1,t_1962774_b_33137_tn_1,38430,t_1962774_b_33137_tn_17,38430
2400000,c_23874_b_33137_d_63,1601,24,1,t_1962394_b_33137_tn_1,32867,t_1962394_b_33137_tn_7,33894
2500000,c_23874_b_33137_d_63,1602,25,1,t_1962395_b_33137_tn_1,32867,t_1962395_b_33137_tn_7,33894
2600000,c_23874_b_33137_d_63,1603,26,1,t_1962391_b_33137_tn_1,33894,t_1962391_b_33137_tn_7,32867
2700000,c_23874_b_33137_d_63,1604,27,1,t_1962396_b_33137_tn_1,33894,t_1962396_b_33137_tn_7,32867
2800000,c_23874_b_33137_d_63,1701,28,1,t_1962410_b_33137_tn_0,31315,t_1962434_b_33137_tn_0,31348
2900000,c_23874_b_33137_d_63,1702,29,1,t_1962419_b_33137_tn_0,31315,t_1962420_b_33137_tn_0,31348
300000,c_23874_b_33137_d_31,2123,3,1,t_1962770_b_33137_tn_1,33911,t_1962770_b_33137_tn_6,37777
3000000,c_23874_b_33137_d_63,1703,30,1,t_1962398_b_33137_tn_0,31348,t_1962422_b_33137_tn_0,31387
3100000,c_23874_b_33137_d_63,1704,31,1,t_1962414_b_33137_tn_0,31348,t_1962415_b_33137_tn_0,31387
3200000,c_23874_b_33137_d_63,1705,32,1,t_1962427_b_33137_tn_0,31315,t_1962430_b_33137_tn_0,31387
3300000,c_23874_b_33137_d_63,1706,33,1,t_1962418_b_33137_tn_0,31315,t_1962438_b_33137_tn_0,31387
3400000,c_23874_b_33137_d_63,1707,34,1,t_1962432_b_33137_tn_0,31348,t_1962433_b_33137_tn_0,31387
3500000,c_23874_b_33137_d_63,1801,35,1,t_1962556_b_33137_tn_1,33248,t_1962556_b_33137_tn_5,31566
3600000,c_23874_b_33137_d_63,1802,36,1,t_1962558_b_33137_tn_1,33248,t_1962558_b_33137_tn_5,31566
3700000,c_23874_b_33137_d_63,1803,37,1,t_1962560_b_33137_tn_1,33248,t_1962561_b_33137_tn_4,33248
3800000,c_23874_b_33137_d_63,1804,38,1,t_1962562_b_33137_tn_1,31566,t_1962562_b_33137_tn_5,33248
3900000,c_23874_b_33137_d_63,1805,39,1,t_1962564_b_33137_tn_1,31566,t_1962564_b_33137_tn_5,33248
400000,c_23874_b_33137_d_31,2124,4,1,t_1962766_b_33137_tn_1,37777,t_1962766_b_33137_tn_6,33911
4000000,c_23874_b_33137_d_63,1806,40,1,t_1962566_b_33137_tn_1,31566,t_1962567_b_33137_tn_4,31566
4100000,c_23874_b_33137_d_63,1901,41,1,t_1962442_b_33137_tn_1,34226,t_1962442_b_33137_tn_11,34225
4200000,c_23874_b_33137_d_63,1902,42,1,t_1962359_b_33137_tn_1,34226,t_1962359_b_33137_tn_11,34225
4300000,c_23874_b_33137_d_63,2001,43,1,t_1962445_b_33137_tn_1,32947,t_1962445_b_33137_tn_7,37050
4400000,c_23874_b_33137_d_63,2002,44,1,t_1962446_b_33137_tn_0,32947,t_1962447_b_33137_tn_6,37050
4500000,c_23874_b_33137_d_63,2003,45,1,t_1962450_b_33137_tn_0,37050,t_1962451_b_33137_tn_6,32947
4600000,c_23874_b_33137_d_63,2004,46,1,t_1962452_b_33137_tn_0,37050,t_1962453_b_33137_tn_6,32947
4700000,c_23874_b_33137_d_63,2101,47,1,t_1962458_b_33137_tn_1,33911,t_1962458_b_33137_tn_7,33434
4800000,c_23874_b_33137_d_63,2102,48,1,t_1962461_b_33137_tn_1,33911,t_1962461_b_33137_tn_7,33434
4900000,c_23874_b_33137_d_63,2103,49,1,t_1962457_b_33137_tn_1,33434,t_1962457_b_33137_tn_7,33911
500000,c_23874_b_33137_d_31,2801,5,1,t_1962369_b_33137_tn_0,33946,t_1962578_b_33137_tn_6,33946
5000000,c_23874_b_33137_d_63,2104,50,1,t_1962459_b_33137_tn_1,33434,t_1962459_b_33137_tn_7,33911
5100000,c_23874_b_33137_d_63,2301,51,1,t_1962463_b_33137_tn_1,33248,t_1962463_b_33137_tn_9,33948
5200000,c_23874_b_33137_d_63,2302,52,1,t_1962464_b_33137_tn_1,33948,t_1962464_b_33137_tn_9,33248
5300000,c_23874_b_33137_d_63,2401,53,1,t_1962363_b_33137_tn_0,34193,t_1962439_b_33137_tn_0,32957
5400000,c_23874_b_33137_d_63,2402,54,1,t_1962368_b_33137_tn_0,32957,t_1962506_b_33137_tn_0,34193
5500000,c_23874_b_33137_d_63,2403,55,1,t_1962364_b_33137_tn_0,34193,t_1962441_b_33137_tn_0,32957
5600000,c_23874_b_33137_d_63,2404,56,1,t_1962367_b_33137_tn_0,32957,t_1962505_b_33137_tn_0,34193
5700000,c_23874_b_33137_d_63,2601,57,1,t_1962568_b_33137_tn_1,34193,t_1962568_b_33137_tn_7,33946
5800000,c_23874_b_33137_d_63,2602,58,1,t_1962570_b_33137_tn_1,34193,t_1962571_b_33137_tn_6,34193
5900000,c_23874_b_33137_d_63,2603,59,1,t_1962572_b_33137_tn_1,33946,t_1962572_b_33137_tn_7,34193
600000,c_23874_b_33137_d_31,2802,6,1,t_1962370_b_33137_tn_0,33946,t_1962371_b_33137_tn_0,33946
6000000,c_23874_b_33137_d_63,2604,60,1,t_1962574_b_33137_tn_1,33946,t_1962575_b_33137_tn_6,33946
6100000,c_23874_b_33137_d_63,3001,61,1,t_1962509_b_33137_tn_1,33000,t_1962509_b_33137_tn_7,34174
6200000,c_23874_b_33137_d_63,3002,62,1,t_1962511_b_33137_tn_1,33000,t_1962512_b_33137_tn_3,33000
6300000,c_23874_b_33137_d_63,3003,63,1,t_1962515_b_33137_tn_1,34174,t_1962514_b_33137_tn_3,33000
6400000,c_23874_b_33137_d_63,3004,64,1,t_1962516_b_33137_tn_1,34174,t_1962381_b_33137_tn_6,34174
6500000,c_23874_b_33137_d_63,3201,65,1,t_1962517_b_33137_tn_1,37301,t_1962517_b_33137_tn_7,34071
6600000,c_23874_b_33137_d_63,3202,66,1,t_1962518_b_33137_tn_1,37301,t_1962389_b_33137_tn_6,37301
6700000,c_23874_b_33137_d_63,3203,67,1,t_1962521_b_33137_tn_1,34071,t_1962521_b_33137_tn_7,37301
6800000,c_23874_b_33137_d_63,3204,68,1,t_1962520_b_33137_tn_1,34071,t_1962390_b_33137_tn_6,34071
6900000,c_23874_b_33137_d_63,3301,69,1,t_1962554_b_33137_tn_1,37341,t_1962554_b_33137_tn_7,32772
700000,c_23874_b_33137_d_31,3401,7,1,t_1962379_b_33137_tn_1,34219,t_1962373_b_33137_tn_12,34219
7000000,c_23874_b_33137_d_63,3302,70,1,t_1962552_b_33137_tn_1,37341,t_1962553_b_33137_tn_6,37341
7100000,c_23874_b_33137_d_63,3303,71,1,t_1962550_b_33137_tn_1,32772,t_1962550_b_33137_tn_7,37341
7200000,c_23874_b_33137_d_63,3304,72,1,t_1962548_b_33137_tn_1,32772,t_1962549_b_33137_tn_6,32772
7300000,c_23874_b_33137_d_63,3501,73,1,t_1962523_b_33137_tn_1,32830,t_1962524_b_33137_tn_7,32830
7400000,c_23874_b_33137_d_63,3502,74,1,t_1962525_b_33137_tn_1,32830,t_1962526_b_33137_tn_6,32830
7500000,c_23874_b_33137_d_63,3503,75,1,t_1962527_b_33137_tn_1,32830,t_1962387_b_33137_tn_6,32830
7600000,c_23874_b_33137_d_63,3504,76,1,t_1962529_b_33137_tn_1,32830,t_1962528_b_33137_tn_6,32830
7700000,c_23874_b_33137_d_63,3601,77,1,t_1962531_b_33137_tn_1,33364,t_1962531_b_33137_tn_13,37301
7800000,c_23874_b_33137_d_63,3602,78,1,t_1962532_b_33137_tn_1,37301,t_1962532_b_33137_tn_13,33364
800000,c_23874_b_33137_d_31,3402,8,1,t_1962374_b_33137_tn_1,34219,t_1962372_b_33137_tn_6,34219
900000,c_23874_b_33137_d_31,3403,9,1,t_1962377_b_33137_tn_1,34219,t_1962375_b_33137_tn_6,34219
