stop_id,stop_city
33234,Suitland
32413,Largo
31105,Brentwood
33367,Camp Springs
37397,Glassmanor
33226,Suitland
31601,Brentwood
37370,Temple Hills
31032,Greenbelt
38122,Temple Hills
32246,District Heights
37965,Berry Lane
37042,Hyattsville
31096,Hyattsville
38071,Temple Hills
31617,Hyattsville
31269,Greenbelt
32121,Lanham
31196,Glenn Dale
37340,Temple Hills
32213,Largo
37888,Lake Arbor
37069,Lake Arbor
38401,Lake Arbor
31152,Greenbelt
31180,East Riverdale
31622,Hyattsville
38097,Hillcrest Heights
33299,Oxon Hill
32346,Washington
32259,Capitol Heights
37919,District Heights
32168,Upper Marlboro
32126,Landover
31267,Greenbelt
31566,Langley Park
31448,Hyattsville
31190,Riverdale Park
31266,Greenbelt
32114,Landover
31088,Hyattsville
33310,Oxon Hill
32366,Capitol Heights
33355,Clinton
31184,Riverdale Park
38161,Temple Hills
32119,Landover
32350,Landover
37003,Greenbelt
33456,Marlboro Meadows
32184,Largo
38391,Hyattsville
31175,East Riverdale
38277,Fort Washington
31331,College Park
38048,Camp Springs
31316,Brentwood
37396,Glassmanor
37895,Largo
37063,Lake Arbor
37890,District Heights
31294,Greenbelt
38089,Temple Hills
32096,Upper Marlboro
32010,District Heights
32194,Hyattsville
38012,Camp Springs
38084,Temple Hills
38120,Temple Hills
38164,Temple Hills
38124,Temple Hills
32219,Largo
32415,Largo
32180,Largo
38153,Temple Hills
37301,Clinton
38370,Clinton
31179,East Riverdale
31365,College Park
38044,Clinton
37999,Largo
32027,Meadows
38376,Hyattsville
32263,Hyattsville
31349,College Park
31256,College Park
32444,Upper Marlboro
38330,Marlboro Meadows
31618,Hyattsville
38158,Temple Hills
32438,District Heights
31602,Colmar Manor
33305,Temple Hills
37936,Capitol Heights
31234,New Carrollton
32356,Hyattsville
38286,Fort Washington
38278,Fort Washington
32123,Lanham
31428,Bladensburg
33220,Camp Springs
32422,Capitol Heights
38109,Silver Hill Park
33430,Wells Corner
31580,Hyattsville
37394,Washington
31036,Greenbelt
31018,Greenbelt
32447,District Heights
38068,Temple Hills
32579,District Heights
31047,Hyattsville
37998,Lake Arbor
31006,Greenbelt
37100,Largo
31431,Bladensburg
37014,Brentwood
31286,College Park
32481,Landover
32554,Capitol Heights
31085,Brentwood
32353,Boulevard Heights
32225,Summerfield
38430,Hyattsville
37900,District Heights
31237,Greenbelt
33431,Wells Corner
32197,Largo
38170,Oxon Hill
31589,Hyattsville
37956,Hyattsville
31170,East Riverdale
33361,T B
32403,Largo
38141,District Heights
32407,Capitol Heights
31597,Brentwood
31409,Hyattsville
38297,Fort Washington
31253,College Park
31023,Greenbelt
32109,Hyattsville
32791,Temple Hills
38083,Marlow Heights
32076,District Heights
32427,Capitol Heights
32022,Rosaryville
31149,East Riverdale
32004,Walker Mill
31609,Bladensburg
32630,Lake Arbor
31638,Seat Pleasant
31623,Hyattsville
32321,Boulevard Heights
38167,Oxon Hill
31439,Brentwood
32129,Landover
38018,Andrews Manor
31436,Cottage City
32205,Largo
31011,Greenbelt
37057,Largo
38144,Clinton
31093,Hyattsville
37333,Temple Hills
31293,Greenbelt
37434,Glassmanor
33302,Fort Washington
32362,Greater Capitol Heights
38384,Upper Marlboro
33358,Clinton
31306,Hyattsville
38194,Temple Hills
31615,Hyattsville
37987,Glenarden
37894,Largo
37036,Hyattsville
31068,Mount Rainier
31273,Greenbelt
32116,Landover
32044,Upper Marlboro
31620,Hyattsville
32599,Hyattsville
38094,Hillcrest Heights
32167,Upper Marlboro
37086,Lake Arbor
31074,Mount Rainier
32371,Hyattsville
38196,Temple Hills
37917,Berry Lane
38195,Temple Hills
37803,Lake Arbor
38135,Clinton
31260,Greenbelt
32236,Seat Pleasant
32244,District Heights
31616,Hyattsville
33359,Clinton
31283,College Park
31608,Bladensburg
31041,Greenbelt
32294,Hyattsville
31062,Hyattsville
32037,Marlboro West
31576,Hyattsville
38108,Hillcrest Heights
32295,Capitol Heights
32241,Carmody Hills
33243,Suitland
32064,Windsor Park
32270,Summerfield
38029,Suitland
37928,Forestville
31055,Hyattsville
32108,Lake Arbor
32429,District Heights
31225,Hyattsville
32036,Marlboro West
31272,Greenbelt
37952,Hyattsville
31165,Riverdale Park
37932,Largo
38281,Fort Washington
31359,College Park
31642,Seat Pleasant
37317,Camp Springs
37337,Temple Hills
31394,Seat Pleasant
31440,Brentwood
31329,Riverdale Park
31043,Greenbelt
32406,Carmody Hills
38010,Camp Springs
32478,Landover
32220,Hyattsville
38136,Clinton
31603,Brentwood
38373,Greenbelt
38150,Temple Hills
31046,Greenbelt
31398,Seat Pleasant
33293,Fort Washington
38114,Temple Hills
37968,Landover
33301,Oxon Hill
38052,Camp Springs
31372,University Park
38037,Suitland
31192,Hyattsville
31012,Greenbelt
38130,Clinton
33289,Oxon Hill
38106,Hillcrest Heights
32947,Walker Mill
31183,Riverdale Park
33227,Suitland
38324,Fort Washington
33239,Suitland
31355,College Park
37993,Lake Arbor
31048,Hyattsville
37335,Temple Hills
32212,Largo
33351,Clinton
32104,Upper Marlboro
32066,Meadows
37043,Hyattsville
31612,Hyattsville
32243,District Heights
37986,District Heights
38311,Fort Washington
31302,Hyattsville
32131,Carsondale
32012,District Heights
31334,College Park
32216,Largo
34193,Summerfield
31571,Langley Park
31123,Chillum
31059,Chillum
38024,Suitland
32043,Marlboro West
33360,T B
33249,Suitland
38077,Temple Hills
37962,Landover
31357,College Park
32592,Landover
33318,Oxon Hill
31403,Landover
38285,Fort Washington
32111,Tyrol Estates
32132,Hyattsville
31281,College Park
38357,Upper Marlboro
37958,Hyattsville
31064,Hyattsville
38318,Fort Washington
32267,Carmody Hills
32395,Largo
32156,Kettering
33434,Upper Marlboro
31057,Hyattsville
31610,Hyattsville
32439,Upper Marlboro
33248,Walker Mill
38290,Fort Washington
37066,Lake Arbor
32375,Hyattsville
31445,Hyattsville
31447,Hyattsville
38057,Clinton
31433,Brentwood
31296,Greenbelt
33443,District Heights
32217,Hyattsville
32199,Hyattsville
38155,District Heights
37026,Hyattsville
31435,Brentwood
32074,Forest Manor
32566,Suitland
33313,Oxon Hill
31223,Hyattsville
31188,Riverdale Park
32265,Hyattsville
37940,Landover
38283,Fort Washington
31644,Capitol Heights
31303,Hyattsville
31432,Bladensburg
31383,Brentwood
32240,District Heights
37024,Hyattsville
31094,Hyattsville
31392,Capitol Heights
31102,Hyattsville
31230,Hyattsville
38100,Hillcrest Heights
37930,Capitol Heights
37437,Washington
31374,Riverdale Park
38025,Suitland
37959,Forestville
32055,Marlboro West
37976,Forestville
32290,Maryland Park
31307,Hyattsville
31569,Hyattsville
31194,Seabrook
37067,Lake Arbor
31092,Hyattsville
31051,Hyattsville
31113,Hyattsville
31153,Greenbelt
31027,Greenbelt
33245,Suitland
38306,Fort Washington
33130,Temple Hills
31220,New Carrollton
37058,Largo
38069,Temple Hills
32041,Marlboro West
32327,Boulevard Heights
31239,Greenbelt
37028,Hyattsville
31122,Hyattsville
31241,Greenbelt
38314,Fort Washington
32107,Largo
32312,Greater Capitol Heights
38023,Suitland
37312,Pagett's Corner
31218,Hyattsville
31279,Greenbelt
31358,College Park
32314,Greater Capitol Heights
31168,East Riverdale
37371,Temple Hills
38415,Temple Hills
38319,Fort Washington
33946,Lake Arbor
33311,Oxon Hill
31083,North Brentwood
31298,Greenbelt
32291,Landover
37072,Upper Marlboro
31573,Hyattsville
32487,Capitol Heights
32221,Capitol Heights
32172,Hyattsville
31159,Riverdale Park
31614,Hyattsville
37373,Temple Hills
37907,Largo
31558,Carole Highlands
38152,Temple Hills
32596,Landover
31595,Brentwood
38413,Temple Hills
32158,Kettering
31061,Hyattsville
32058,Marlboro West
31259,Greenbelt
32297,Capitol Heights
31415,Hyattsville
32128,Landover
31078,Mount Rainier
32272,Hyattsville
31115,Hyattsville
32412,Capitol Heights
31562,Langley Park
39007,Lake Arbor
31339,College Park
