stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
31001,31001,,Cherrywood Lane at Ivy Lane,,39.0098781277374,-76.8984646779109,,,0,,America/New_York,,,0,
31002,31002,,Cherrywood Lane at Greenbelt Federal Courthouse,,39.010844,-76.894832,,,0,,America/New_York,,,0,
31003,31003,,Crescent Road at Ridge Road,,39.005616,-76.890935,,,0,,America/New_York,,,0,
31004,31004,,Crescent Road at Lastner Lane,,39.005389,-76.889073,,,0,,America/New_York,,,0,
31005,31005,,Greenhill Road at Crescent Road,,39.0063684380867,-76.8832046663882,,,0,,America/New_York,,,0,
31006,31006,,Greenhill Road at Greenway Place,,39.008168,-76.882174,,,0,,America/New_York,,,0,
31007,31007,,Hillside Road at #19 Court Hillside,,39.009077,-76.877656,,,0,,America/New_York,,,0,
31008,31008,,Hillside Road at Laurel Hill Road,,39.008762,-76.875714,,,0,,America/New_York,,,0,
31009,31009,,Hillside Road at Northway,,39.007047,-76.875251,,,0,,America/New_York,,,0,
31010,31010,,Hillside Road at Woodland Way,,39.006543,-76.875393,,,0,,America/New_York,,,0,
31011,31011,,Hillside Road at Crescent Road,,39.004737,-76.87563,,,0,,America/New_York,,,0,
31012,31012,,Crescent Road at Parkway,,39.003115,-76.874341,,,0,,America/New_York,,,0,
31013,31013,,Crescent Road at Gardenway,,39.001221,-76.87521,,,0,,America/New_York,,,0,
31014,31014,,Southway at Crescent Road,,39.00005,-76.877222,,,0,,America/New_York,,,0,
31015,31015,,Southway at Ridge Road,,38.997853,-76.878319,,,0,,America/New_York,,,0,
31016,31016,,Southway at #10 Court Southway,,38.996997,-76.879365,,,0,,America/New_York,,,0,
31017,31017,,Greenbrook Drive at Hanover Parkway,,38.9880670468468,-76.8774422674365,,,0,,America/New_York,,,0,
31018,31018,,Greenbrook Drive at Sunset Place,,38.988177,-76.874074,,,0,,America/New_York,,,0,
31019,31019,,Greenbrook Drive at Chartwell Place,,38.988155,-76.871318,,,0,,America/New_York,,,0,
31020,31020,,Greenbrook Drive at Ora Glen Drive,,38.989989,-76.870463,,,0,,America/New_York,,,0,
31021,31021,,Ora Glen Drive at Morrison Drive,,38.989187,-76.867309,,,0,,America/New_York,,,0,
31022,31022,,Ora Glen Drive at Mandan Road,,38.988785,-76.864599,,,0,,America/New_York,,,0,
31023,31023,,Mandan Road at Canning Terrace,,38.990411,-76.864322,,,0,,America/New_York,,,0,
31024,31024,,Mandan Road at Greenbelt Road,,38.992704,-76.864292,,,0,,America/New_York,,,0,
